"ENTITY_CD","SCHOOL_NAME","YEAR","DISTRICT_CD","DISTRICT_NAME","CSO_NAME","STREET","CITY","PHONE","GRADE_RANGE","NUM_TEACH","NUM_NO_VALID_CERT","PER_NO_VALID_CERT","NUM_TEACH_OUT_CERT","PER_TEACH_OUT_CERT","NUM_FEWER_3YRS_EXP","PER_FEWER_3YRS_EXP","NUM_MAS_PLUS","PER_MAS_PLUS","NUM_CORE","PER_NOT_HQ","NUM_CLASS","NUM_NO_APPROP_CERT","PER_NO_APPROP_CERT","PER_TURN_FIVE_YRS","PER_TURN_ALL","NUM_FT_OTH_PROF_STAFF","NUM_PT_OTH_PROF_STAFF","NUM_FT_PARAPROFESSIONALS","NUM_PT_PARAPROFESSIONALS","NUM_FT_ASST_PRINCIPALS","NUM_PT_ASST_PRINCIPALS","NUM_FT_PRINCIPALS","NUM_PT_PRINCIPALS"
"331600010628","BROOKLYN BROWNSTONE SCHOOL",2012,"33160001","NYC GEOG DIST 16","NAKIA HASKINS","272 MCDONOUGH ST","BROOKLYN","7185732307","K-4",14,0,0,0,0,0,0,5,36,24,0,25,0,0,0,10,0,0,0,0,0,0,1,0
"331600010636","YOUNG SCHOLARS ACADEMY FOR DISCOVERY AND EXPLORATION",2012,"33160001","NYC GEOG DIST 16","DANIKA LACROIX","280 HART ST","BROOKLYN","7184534081","K-5, UE",16,0,0,1,6,2,13,2,13,26,8,35,3,9,67,19,4,0,0,0,1,0,1,0
"010100010020","NORTH ALBANY ACADEMY",2014,"01010001","ALBANY CITY SD","LESLEY BUFF","570 N PEARL ST","ALBANY","5184756800","K-8, UE, US",30,0,0,0,0,0,0,3,10,71,0,97,1,1,0,20,4,0,0,0,0,0,1,0
"010100010023","ALBANY SCHOOL OF HUMANITIES",2014,"01010001","ALBANY CITY SD","C FRED ENGELHARDT","108 WHITEHALL RD","ALBANY","5184627258","K-6, UE",32,0,0,0,0,0,0,4,13,35,0,46,0,0,0,15,0,0,0,0,0,0,1,0
"010100010027","EAGLE POINT ELEMENTARY SCHOOL",2014,"01010001","ALBANY CITY SD","KENDRA CHAIRES","1044 WESTERN AVE","ALBANY","5184756825","K-6",21,0,0,0,0,3,14,4,19,22,0,29,0,0,33,23,0,5,0,0,0,0,1,0
"331600011455","BOYS AND GIRLS HIGH SCHOOL",2012,"33160001","NYC GEOG DIST 16","BERNARD GASSAWAY","1700 FULTON ST","BROOKLYN","7184671700","9-12, US",72,0,0,4,6,3,4,40,56,289,6,323,16,5,,31,20,1,0,0,8,0,1,0
"331600011498","BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY",2012,"33160001","NYC GEOG DIST 16","MICHAEL PRAYOR","1396 BROADWAY","BROOKLYN","7189191256","9-12, US",19,0,0,4,21,1,5,9,47,81,22,91,19,21,,,2,0,0,0,2,0,1,0
"331600011594","GOTHAM PROFESSIONAL ARTS ACADEMY",2012,"33160001","NYC GEOG DIST 16","ALEXANDER WHITE","265 RALPH AVE","BROOKLYN","7184550746","9-12",22,1,5,4,18,1,5,8,36,92,18,92,17,18,18,22,1,0,0,0,0,0,1,0
"010100010028","THOMAS S O'BRIEN ACADEMY OF SCIENCE & TECHNOLOGY",2014,"01010001","ALBANY CITY SD","SHELLETTE PLEAT","94 DELAWARE AVE","ALBANY","5184756875","K-5, UE",32,0,0,1,3,2,6,1,3,62,0,84,2,2,,18,12,0,0,0,0,0,1,0
"010100010029","GIFFEN MEMORIAL ELEMENTARY SCHOOL",2014,"01010001","ALBANY CITY SD","JASMINE BROWN","274 S PEARL ST","ALBANY","5184756650","K-6",36,0,0,0,0,0,0,9,25,34,0,47,0,0,,11,3,0,0,0,0,0,1,0
"331600011688","THE BROOKLYN ACADEMY OF GLOBAL FINANCE",2012,"33160001","NYC GEOG DIST 16","KAVITA GUPTA","125 STUYVESANT AVE","BROOKLYN","7185743126","9-11, US",17,0,0,1,6,7,41,1,6,30,7,32,2,6,67,64,1,0,0,0,1,0,1,0
"331600860847","BROOKLYN EXCELSIOR CHARTER SCHOOL",2012,"","","THOMAS DEMARCO","856 QUINCY ST","BROOKLYN","7182465681","K-8, UE",40,3,8,3,8,11,28,0,0,91,2,95,18,19,21,23,3,0,0,0,3,0,1,0
"010100010030","WILLIAM S HACKETT MIDDLE SCHOOL",2014,"01010001","ALBANY CITY SD","MICHAEL PAOLINO","45 DELAWARE AVE","ALBANY","5184756475","6-8, US",58,0,0,0,0,5,9,12,21,171,0,296,0,0,29,23,38,0,0,0,2,0,1,0
"010100010034","ALBANY HIGH SCHOOL",2014,"01010001","ALBANY CITY SD","CECILY WILSON","700 WASHINGTON AVE","ALBANY","5184756200","9-12, US",160,0,0,1,1,6,4,29,18,513,0,754,11,1,29,13,52,0,0,0,4,0,3,0
"010100010039","ARBOR HILL ELEMENTARY SCHOOL",2014,"01010001","ALBANY CITY SD","ROSALIND GAINES-HARRELL","1 ARBOR DR","ALBANY","5184756625","K-6",24,0,0,0,0,1,4,0,0,31,0,38,0,0,0,25,21,0,0,0,0,0,1,0
"331600860860","EXCELLENCE BOYS CHARTER SCHOOL OF BEDFORD STUYVESANT",2012,"","","CHRIS KANG","225 PATCHEN AVE","BROOKLYN","7186381830","K-8, UE",45,5,11,5,11,20,44,1,2,58,0,61,7,11,33,46,10,0,0,0,4,0,1,0
"331600860918","BEDFORD STUYVESANT COLLEGIATE CHARTER SCHOOL",2012,"","","MABEL LAJES-GUITERAS","800 GATES AVE-4TH FL","BROOKLYN","7186697460","5-8",25,0,0,0,0,9,36,2,8,23,0,28,0,0,36,33,6,0,0,0,0,0,2,0
"331600860924","LA CIMA CHARTER SCHOOL",2012,"","","ANDREA ZAYAS","800 GATES AVE","BROOKLYN","7184432136","K-4, UE",29,5,17,5,17,11,38,1,3,43,2,48,15,31,38,37,12,4,0,0,0,0,1,0
"010100010043","PHILIP J SCHUYLER ACHIEVEMENT ACADEMY",2014,"01010001","ALBANY CITY SD","JALINDA SOTO","676 CLINTON AVE","ALBANY","5184756700","K-5, UE",30,0,0,0,0,1,3,1,3,29,0,39,0,0,0,21,8,3,0,0,0,0,1,0
"010100010044","SHERIDAN PREPARATORY ACADEMY",2014,"01010001","ALBANY CITY SD","ZULEIKA SANCHEZ-GAYLE","400 SHERIDAN AVE","ALBANY","5184756850","K-5, UE",27,0,0,0,0,3,11,1,4,29,0,41,0,0,33,19,9,0,0,0,0,0,1,0
"010100010000","ALBANY CITY SCHOOL DISTRICT",2012,"01010001","ALBANY CITY SD","RAYMOND COLUCCIELLO","ACADEMY PARK","ALBANY","5184756010","PK-12, UE, US",652,0,0,4,1,15,2,79,12,1374,0,1981,30,2,12,17,136,2,188,0,10,0,17,0
"010100010014","MONTESSORI MAGNET SCHOOL",2012,"01010001","ALBANY CITY SD","KEN LEIN","65 TREMONT ST","ALBANY","5184756675","K-5, UE",20,0,0,0,0,1,5,4,20,20,0,24,0,0,0,5,2,0,0,0,0,0,1,0
"010100010045","STEPHEN AND HARRIET MYERS MIDDLE SCHOOL",2014,"01010001","ALBANY CITY SD","KIMBERLY WILKINS","100 ELBEL CT","ALBANY","5184756425","6-8, UE, US",61,0,0,1,2,2,3,4,7,176,0,274,7,3,0,8,10,0,0,0,1,0,1,0
"010100860829","BRIGHTER CHOICE CHARTER SCHOOL FOR BOYS",2014,,,"KAREN MCLEAN","116 N LAKE AVE","ALBANY","5186948200","K-4",24,2,8,2,8,1,4,2,8,35,0,48,7,15,20,27,7,3,0,0,1,1,1,0
"010100860830","BRIGHTER CHOICE CHARTER SCHOOL FOR GIRLS",2014,,,"MARCUS PUCCIONI","250 CENTRAL AVE","ALBANY","5186944100","K-4",26,3,12,3,12,7,27,2,8,46,4,53,4,8,8,15,4,3,0,0,1,0,1,0
"010100010016","PINE HILLS ELEMENTARY SCHOOL",2012,"01010001","ALBANY CITY SD","VIBETTA SANDERS","41 N ALLEN ST","ALBANY","5184756725","K-6",28,0,0,0,0,1,4,2,7,25,0,46,0,0,33,14,3,0,0,0,0,0,1,0
"010100010018","DELAWARE COMMUNITY SCHOOL",2012,"01010001","ALBANY CITY SD","THOMAS GIGLIO","43 BERTHA ST","ALBANY","5184756750","K-5",31,0,0,0,0,1,3,4,13,30,0,44,0,0,0,16,3,3,0,0,0,0,1,0
"010100010019","NEW SCOTLAND ELEMENTARY SCHOOL",2012,"01010001","ALBANY CITY SD","GREGORY JONES","369 NEW SCOTLAND AVE","ALBANY","5184756775","K-5, UE",32,0,0,0,0,0,0,3,9,26,0,46,0,0,0,14,0,0,0,0,0,0,1,0
"010100860867","KIPP TECH VALLEY CHARTER SCHOOL",2014,,,"DUSTIN MITCHELL","1 DUDLEY HEIGHTS","ALBANY","5186949494","5-8",17,1,6,1,6,5,29,1,6,18,0,33,2,6,21,30,6,0,0,0,1,0,1,0
"010100860892","HENRY JOHNSON CHARTER SCHOOL",2014,,,"JEROME WATTS","30 WATERVLIET AVE","ALBANY","5184324300","K-4",35,1,3,1,3,6,17,1,3,37,5,57,1,2,31,42,20,1,0,0,0,0,1,0
"010100010020","NORTH ALBANY ACADEMY",2012,"01010001","ALBANY CITY SD","LESLEY BUFF","570 N PEARL ST","ALBANY","5184756800","K-8, UE, US",33,0,0,1,3,1,3,2,6,64,0,109,4,4,0,25,5,0,0,0,0,0,1,0
"010100010023","ALBANY SCHOOL OF HUMANITIES",2012,"01010001","ALBANY CITY SD","ROSALYN WALLACE","108 WHITEHALL RD","ALBANY","5184627258","K-6, UE",32,0,0,0,0,1,3,1,3,28,0,52,0,0,,17,1,0,0,0,1,0,1,0
"010100860899","ALBANY COMMUNITY CHARTER SCHOOL",2014,,,"S NEAL CURRIE","65 KRANK ST","ALBANY","5184331500","K-7",36,5,14,6,17,6,17,4,11,56,12,69,13,19,0,17,6,0,0,0,0,0,1,0
"010100860907","GREEN TECH HIGH CHARTER SCHOOL",2014,,,"PAUL MILLER","321 NORTHERN BLVD","ALBANY","5186943400","9-12",30,1,3,2,7,5,17,2,7,48,0,62,2,3,13,21,23,2,0,0,0,0,1,0
"010100860960","ALBANY LEADERSHIP CHARTER HIGH SCHOOL FOR GIRLS",2014,,,"CHRISTINA ROBERTS","19 HACKETT BLVD","ALBANY","5186945300","9-12",35,4,11,4,11,14,40,2,6,65,5,79,9,11,43,41,11,0,0,0,1,0,2,0
"010100010027","EAGLE POINT ELEMENTARY SCHOOL",2012,"01010001","ALBANY CITY SD","KENDRA CHAIRES","1044 WESTERN AVE","ALBANY","5184756825","K-6",22,0,0,0,0,1,5,4,18,19,0,24,0,0,0,10,0,1,0,0,0,0,1,0
"010100010028","THOMAS S O'BRIEN ACADEMY OF SCIENCE & TECHNOLOGY",2012,"01010001","ALBANY CITY SD","TIMOTHY FOWLER","94 DELAWARE AVE","ALBANY","5184756875","K-5, UE",32,0,0,0,0,1,3,1,3,32,0,56,0,0,0,19,24,0,0,0,0,0,1,0
"010100010029","GIFFEN MEMORIAL ELEMENTARY SCHOOL",2012,"01010001","ALBANY CITY SD","MAXINE FANTROY-FORD","274 S PEARL ST","ALBANY","5184756650","K-6",35,0,0,0,0,0,0,8,23,32,0,44,0,0,,18,4,0,0,0,0,0,1,0
"010100860976","BRIGHTER CHOICE CHARTER MIDDLE SCHOOL FOR BOYS",2014,,,"MARCUS PUCCIONI","395 ELK ST","ALBANY","5187036100","5-8",27,1,4,1,4,10,37,2,7,74,0,100,5,5,17,39,0,1,0,0,1,0,1,0
"010100860977","BRIGHTER CHOICE CHARTER MIDDLE SCHOOL FOR GIRLS",2014,,,"MARCUS PUCCIONI","395 ELK ST","ALBANY","5186945550","5-8",25,1,4,1,4,7,28,1,4,74,11,97,6,6,10,21,2,1,0,0,0,0,1,0
"010100010030","WILLIAM S HACKETT MIDDLE SCHOOL",2012,"01010001","ALBANY CITY SD","MICHAEL PAOLINO","45 DELAWARE AVE","ALBANY","5184756475","6-8, UE, US",66,0,0,1,2,1,2,9,14,226,0,325,5,2,20,22,46,1,0,0,2,0,1,0
"010100010034","ALBANY HIGH SCHOOL",2012,"01010001","ALBANY CITY SD","DAVID MCCALLA","700 WASHINGTON AVE","ALBANY","5184543987","9-12, US",154,0,0,1,1,4,3,29,19,492,0,706,11,2,10,17,45,4,0,0,2,0,5,0
"010201040000","BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT",2014,"01020104","BERNE-KNOX-WESTERLO CSD","JOE NATALE","1738 HELDERBERG TRAIL","BERNE","5188721293","PK-12, UE, US",71,0,0,1,1,4,6,13,18,176,0,258,4,2,14,10,9,0,18,0,0,0,2,0
"010201040001","BERNE-KNOX-WESTERLO JUNIOR-SENIOR HIGH SCHOOL",2014,"01020104","BERNE-KNOX-WESTERLO CSD","BRIAN COREY","1738 HELDERBERG TRAIL","BERNE","5188721482","7-12, US",38,0,0,1,3,2,5,8,21,121,0,178,4,2,0,8,5,0,0,0,0,0,1,0
"010201040002","BERNE-KNOX-WESTERLO ELEMENTARY SCHOOL",2014,"01020104","BERNE-KNOX-WESTERLO CSD","AUDREY ROETTGERS","1738 HELDERBERG TRAIL","BERNE","5188722030","K-6, UE",31,0,0,0,0,2,6,5,16,50,0,70,0,0,17,14,3,0,0,0,0,0,1,0
"010100010039","ARBOR HILL ELEMENTARY SCHOOL",2012,"01010001","ALBANY CITY SD","ROSALIND GAINES-HARRELL","1 ARBOR DR","ALBANY","5184627166","K-6",22,0,0,0,0,1,5,0,0,25,0,36,0,0,0,24,2,0,0,0,0,0,1,0
"010100010043","PHILIP J SCHUYLER ACHIEVEMENT ACADEMY",2012,"01010001","ALBANY CITY SD","ANTHONY CLEMENT","676 CLINTON AVE","ALBANY","5184756700","K-5, UE",25,0,0,0,0,1,4,2,8,17,0,28,0,0,,19,5,0,0,0,0,0,1,0
"010100010044","SHERIDAN PREPARATORY ACADEMY",2012,"01010001","ALBANY CITY SD","ZULEIKA SANCHEZ-GAYLE","400 SHERIDAN AVE","ALBANY","5184756850","K-5, UE",30,0,0,0,0,1,3,1,3,53,0,68,1,1,20,7,0,0,0,0,0,0,1,0
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT",2014,"01030606","BETHLEHEM CSD","THOMAS DOUGLAS","700 DELAWARE AVE","DELMAR","5184397098","K-12, UE, US",346,0,0,0,0,5,1,45,13,885,0,1214,4,0,20,10,65,2,38,81,2,0,7,0
"010306060003","ELSMERE ELEMENTARY SCHOOL",2014,"01030606","BETHLEHEM CSD","KATHERINE KLOSS","247 DELAWARE AVE","DELMAR","5184394996","K-5, UE",17,0,0,0,0,0,0,2,12,14,0,31,0,0,,6,2,0,0,0,0,0,1,0
"010100010045","STEPHEN AND HARRIET MYERS MIDDLE SCHOOL",2012,"01010001","ALBANY CITY SD","KIMBERLY WILKINS","100 ELBEL CT","ALBANY","5184756425","6-8, UE, US",62,0,0,1,2,0,0,3,5,198,0,277,9,3,0,6,6,2,0,0,1,0,1,0
"010100860829","BRIGHTER CHOICE CHARTER SCHOOL FOR BOYS",2012,"","","DARRYL WILLIAMS","116 N LAKE AVE","ALBANY","5186948200","K-4",19,1,5,1,5,1,5,2,11,28,0,37,5,14,13,32,4,0,0,0,1,0,1,0
"010306060004","GLENMONT ELEMENTARY SCHOOL",2014,"01030606","BETHLEHEM CSD","LAURA HEFFERNAN","328 RT 9W","GLENMONT","5184631154","K-5",24,0,0,0,0,1,4,2,8,27,0,46,0,0,0,0,1,0,0,0,0,0,1,0
"010306060005","HAMAGRAEL ELEMENTARY SCHOOL",2014,"01030606","BETHLEHEM CSD","DAVID KSANZNAK","1 MCGUFFEY LN","DELMAR","5184394905","K-5",22,0,0,0,0,0,0,0,0,26,0,40,0,0,,4,3,1,0,0,0,0,1,0
"010306060006","SLINGERLANDS ELEMENTARY SCHOOL",2014,"01030606","BETHLEHEM CSD","HEIDI BONACQUIST","25 UNION AVE","DELMAR","5184397681","K-5",31,0,0,0,0,0,0,2,6,35,0,53,0,0,,3,2,0,0,0,0,0,1,0
"010100860830","BRIGHTER CHOICE CHARTER SCHOOL FOR GIRLS",2012,"","","DARRYL WILLIAMS","250 CENTRAL AVE","ALBANY","5186944100","K-4",22,1,5,1,5,5,23,1,5,29,0,40,1,3,80,55,7,1,0,0,0,0,1,0
"010100860867","KIPP TECH VALLEY CHARTER SCHOOL",2012,"","","DUSTIN MITCHELL","1 DUDLEY HEIGHTS","ALBANY","5186949494","5-8",22,6,27,6,27,7,32,2,9,29,0,40,7,18,33,40,8,0,0,0,0,0,2,0
"010100860876","ACHIEVEMENT ACADEMY CHARTER SCHOOL",2012,"","","O'RITA SWAN","42 S DOVE ST","ALBANY","5185331601","5-8",19,3,16,3,16,6,32,4,21,32,0,55,13,24,57,44,13,0,0,0,1,0,1,0
"010306060007","BETHLEHEM CENTRAL MIDDLE SCHOOL",2014,"01030606","BETHLEHEM CSD","MICHAEL KLUGMAN","332 KENWOOD AVE","DELMAR","5184397460","6-8, UE, US",84,0,0,0,0,1,1,13,15,263,0,388,2,1,25,10,11,0,0,0,1,0,1,0
"010306060008","BETHLEHEM CENTRAL SENIOR HIGH SCHOOL",2014,"01030606","BETHLEHEM CSD","SCOTT LANDRY","700 DELAWARE AVE","DELMAR","5184394921","9-12, US",110,0,0,0,0,2,2,20,18,385,0,472,2,0,0,11,16,1,0,0,1,0,1,0
"010100860884","ALBANY PREPARATORY CHARTER SCHOOL",2012,"","","ERIN O'MEARA","75 PARK AVE","ALBANY","5186945005","5-8",18,2,11,2,11,4,22,3,17,45,0,61,6,10,58,53,5,0,0,0,1,0,1,0
"010100860892","HENRY JOHNSON CHARTER SCHOOL",2012,"","","PHILIP SHAW","30 WATERVLIET AVE","ALBANY","5184324300","K-4",27,1,4,1,4,7,26,1,4,37,0,66,5,8,0,0,6,0,0,0,1,0,1,0
"010100860899","ALBANY COMMUNITY CHARTER SCHOOL",2012,"","","S NEAL CURRIE","65 KRANK ST","ALBANY","5184331500","K-5",25,2,8,2,8,2,8,1,4,20,0,26,2,8,20,9,2,0,0,0,1,0,1,0
"010306060009","EAGLE ELEMENTARY SCHOOL",2014,"01030606","BETHLEHEM CSD","DIANNA REAGAN","27 VAN DYKE RD","DELMAR","5186948825","K-5",26,0,0,0,0,0,0,4,15,37,0,49,0,0,,7,10,0,0,0,0,0,1,0
"010402060000","RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT",2014,"01040206","RAVENA-COEYMANS-SELKIRK CSD","ALAN MCCARTNEY","15 MOUNTAIN RD","RAVENA","5187565200","PK-12, UE, US",196,0,0,2,1,8,4,34,17,401,0,666,8,1,7,14,19,0,84,3,1,0,4,0
"010100860907","GREEN TECH HIGH CHARTER SCHOOL",2012,"","","JOHN TAYLOR","321 NORTHERN BLVD","ALBANY","5186943400","9-12",28,1,4,1,4,9,32,6,21,107,0,130,5,4,31,30,11,2,0,0,0,0,1,0
"010100860960","ALBANY LEADERSHIP CHARTER HIGH SCHOOL FOR GIRLS",2012,"","","MELISSA JARVIS CEDENO","19 HACKETT BLVD","ALBANY","5186945300","9-11",22,3,14,3,14,15,68,1,5,31,0,33,5,15,,,8,6,0,0,1,0,1,0
"010402060001","RAVENA-COEYMANS-SELKIRK SENIOR HIGH SCHOOL",2014,"01040206","RAVENA-COEYMANS-SELKIRK CSD","BRIAN BISHOP","2025 RT 9W","RAVENA","5187565200","9-12, US",51,0,0,0,0,0,0,10,20,151,0,227,0,0,50,13,6,0,0,0,1,0,1,0
"010402060002","ALBERTUS W BECKER SCHOOL",2014,"01040206","RAVENA-COEYMANS-SELKIRK CSD","TRICIA CARLTON","1146 RT 9W","SELKIRK","5187565200","PK-5, UE",47,0,0,0,0,4,9,10,21,42,0,93,0,0,0,13,4,0,0,0,0,0,1,0
"010402060003","PIETER B COEYMANS SCHOOL",2014,"01040206","RAVENA-COEYMANS-SELKIRK CSD","HAKIM JONES","66 CHURCH ST","COEYMANS","5187565200","PK-5",42,0,0,0,0,2,5,6,14,40,0,75,1,1,0,15,4,0,0,0,0,0,1,0
"010100860976","BRIGHTER CHOICE CHARTER MIDDLE SCHOOL FOR BOYS",2012,"","","DARRYL WILLIAMS","395 ELK ST","ALBANY","5186945550","5-6",13,2,15,2,15,2,15,1,8,50,0,64,13,20,,,3,1,0,0,1,0,0,1
"010100860977","BRIGHTER CHOICE CHARTER MIDDLE SCHOOL FOR GIRLS",2012,"","","DARRYL WILLIAMS","395 ELK ST","ALBANY","5186945550","5-6",12,1,8,1,8,6,50,0,0,36,0,49,6,12,,,3,1,0,0,0,0,1,0
"010201040000","BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT",2012,"01020104","BERNE-KNOX-WESTERLO CSD","PAUL DORWARD","1738 HELDERBERG TRAIL","BERNE","5188721293","PK-12, UE, US",74,0,0,0,0,3,4,15,20,197,0,293,2,1,25,12,8,0,28,0,0,0,2,0
"010402060008","RAVENA-COEYMANS-SELKIRK MIDDLE SCHOOL",2014,"01040206","RAVENA-COEYMANS-SELKIRK CSD","PAMELA BLACK","2025 RT 9W","RAVENA","5187565200","6-8, UE",44,0,0,1,2,2,5,4,9,138,0,225,5,2,0,17,5,0,0,0,0,0,1,0
"010500010000","COHOES CITY SCHOOL DISTRICT",2014,"01050001","COHOES CITY SD","ROBERT LIBBY","7 BEVAN ST","COHOES","5182370100","PK-12, UE, US",163,0,0,0,0,4,2,26,16,373,0,595,4,1,23,12,22,0,36,11,3,0,5,0
"010201040001","BERNE-KNOX-WESTERLO JUNIOR-SENIOR HIGH SCHOOL",2012,"01020104","BERNE-KNOX-WESTERLO CSD","THOMAS MCGURL","1738 HELDERBERG TRAIL","BERNE","5188721482","6-12, UE, US",44,0,0,0,0,0,0,11,25,139,0,208,2,1,50,14,4,0,0,0,0,0,1,0
"010201040002","BERNE-KNOX-WESTERLO ELEMENTARY SCHOOL",2012,"01020104","BERNE-KNOX-WESTERLO CSD","BRIAN COREY","1738 HELDERBERG TRAIL","BERNE","5188722030","K-5",28,0,0,0,0,3,11,4,14,53,0,78,0,0,0,8,2,0,0,0,0,0,1,0
"010500010005","ABRAM LANSING SCHOOL",2014,"01050001","COHOES CITY SD","CLIFFORD BIRD","26 JAMES ST","COHOES","5182375044","K-5",27,0,0,0,0,0,0,3,11,29,0,41,0,0,,21,3,0,0,0,0,0,1,0
"010500010006","VAN SCHAICK ISLAND SCHOOL",2014,"01050001","COHOES CITY SD","JACQUELINE DECHIARO","150 CONTINENTAL AVE","COHOES","5182372828","K-5, UE",13,0,0,0,0,1,8,3,23,25,0,32,1,3,0,8,2,0,0,0,0,0,1,0
"010500010007","COHOES HIGH SCHOOL",2014,"01050001","COHOES CITY SD","JOSEPH RAJCZAK","1 TIGER WAY","COHOES","5182379100","9-12, US",47,0,0,0,0,0,0,8,17,158,0,238,2,1,17,7,5,0,0,0,2,0,1,0
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT",2012,"01030606","BETHLEHEM CSD","THOMAS DOUGLAS","90 ADAMS PL","DELMAR","5184397098","K-12, UE, US",366,0,0,2,1,7,2,51,14,941,1,1273,26,2,45,14,60,1,38,99,2,0,7,0
"010306060003","ELSMERE ELEMENTARY SCHOOL",2012,"01030606","BETHLEHEM CSD","KATHERINE KLOSS","247 DELAWARE AVE","DELMAR","5184394996","K-5, UE",20,0,0,0,0,0,0,2,10,20,0,31,0,0,,0,4,0,0,0,0,0,1,0
"010500010008","COHOES MIDDLE SCHOOL",2014,"01050001","COHOES CITY SD","DANIEL MARTINELLI","7 BEVAN ST","COHOES","5182374131","6-8, UE, US",37,0,0,0,0,2,5,5,14,104,0,183,1,1,67,8,4,0,0,0,1,0,1,0
"010500010009","HARMONY HILL SCHOOL",2014,"01050001","COHOES CITY SD","MARK PERRY","MADELON K HICKEY WAY","COHOES","5182331900","K-5",28,0,0,0,0,0,0,4,14,21,0,51,0,0,0,16,3,0,0,0,0,0,1,0
"010601060000","SOUTH COLONIE CENTRAL SCHOOL DISTRICT",2014,"01060106","SOUTH COLONIE CSD","JONATHAN BUHNER","102 LORALEE DR","ALBANY","5188693576","PK-12, UE, US",392,0,0,1,0,3,1,152,39,797,0,1267,8,1,,16,45,2,49,61,6,0,8,0
