"ENTITY_CD","ENTITY_NAME","YEAR","SUBGROUP_NAME","Completers","HSGraduates","RegentsDiplomas","PER_RegDipl","RegDipAdvDesig","PER_RegDipAdvDesig","RegDipCTE","PER_RegDipCTE","LocalDiplomas","PER_LocDip","CommCred","PER_CommCred"
"410401060000","ADIRONDACK CENTRAL SCHOOL DISTRICT",2012,"General Education",,"91","87","96","31","34",,,,,,
"410401060000","ADIRONDACK CENTRAL SCHOOL DISTRICT",2012,"Students with Disabilities",,"6","2","33","0","00",,,,,,
"332300011493","BROOKLYN COLLEGIATE-A COLLEGE BOARD SCHOOL",2012,"All Students",,"55","49","89","8","15",,,,,,
"332300011493","BROOKLYN COLLEGIATE-A COLLEGE BOARD SCHOOL",2012,"General Education",,"53","49","92","8","15",,,,,,
"332300011493","BROOKLYN COLLEGIATE-A COLLEGE BOARD SCHOOL",2012,"Students with Disabilities",,"2","0","00","0","00",,,,,,
"331400011488","BROOKLYN PREPARATORY HIGH SCHOOL",2012,"All Students",,"58","45","78","1","02",,,,,,
"331400011488","BROOKLYN PREPARATORY HIGH SCHOOL",2012,"General Education",,"44","37","84","1","02",,,,,,
"331400011488","BROOKLYN PREPARATORY HIGH SCHOOL",2012,"Students with Disabilities",,"14","8","57","0","00",,,,,,
"331700011568","BROWNSVILLE ACADEMY HIGH SCHOOL",2012,"All Students",,"84","65","77","0","00",,,,,,
"331700011568","BROWNSVILLE ACADEMY HIGH SCHOOL",2012,"General Education",,"80","65","81","0","00",,,,,,
"331700011568","BROWNSVILLE ACADEMY HIGH SCHOOL",2012,"Students with Disabilities",,"4","0","00","0","00",,,,,,
"333200010564","BUSHWICK COMMUNITY HIGH SCHOOL",2012,"All Students",,"67","26","39","0","00",,,,,,
"333200010564","BUSHWICK COMMUNITY HIGH SCHOOL",2012,"General Education",,"59","24","41","0","00",,,,,,
"333200010564","BUSHWICK COMMUNITY HIGH SCHOOL",2012,"Students with Disabilities",,"8","2","25","0","00",,,,,,
"331800011578","BROOKLYN BRIDGE ACADEMY",2012,"All Students",,"67","24","36","0","00",,,,,,
"331800011578","BROOKLYN BRIDGE ACADEMY",2012,"General Education",,"60","23","38","0","00",,,,,,
"331800011578","BROOKLYN BRIDGE ACADEMY",2012,"Students with Disabilities",,"7","1","14","0","00",,,,,,
"320800011377","BRONX COMMUNITY HIGH SCHOOL",2012,"All Students",,"37","16","43","1","03",,,,,,
"320800011377","BRONX COMMUNITY HIGH SCHOOL",2012,"General Education",,"33","16","48","1","03",,,,,,
"320800011377","BRONX COMMUNITY HIGH SCHOOL",2012,"Students with Disabilities",,"4","0","00","0","00",,,,,,
"310500011367","ACADEMY FOR SOCIAL ACTION-A COLLEGE BOARD SCHOOL",2012,"All Students",,"20","19","95","0","00",,,,,,
"310500011367","ACADEMY FOR SOCIAL ACTION-A COLLEGE BOARD SCHOOL",2012,"General Education",,"19","19","100","0","00",,,,,,
"310500011367","ACADEMY FOR SOCIAL ACTION-A COLLEGE BOARD SCHOOL",2012,"Students with Disabilities",,"1","0","00","0","00",,,,,,
"331400011586","LYONS COMMUNITY SCHOOL",2012,"All Students",,"45","42","93","0","00",,,,,,
"331400011586","LYONS COMMUNITY SCHOOL",2012,"General Education",,"41","39","95","0","00",,,,,,
"331400011586","LYONS COMMUNITY SCHOOL",2012,"Students with Disabilities",,"4","3","75","0","00",,,,,,
"331800011576","VICTORY COLLEGIATE HIGH SCHOOL",2012,"All Students",,"84","76","90","3","04",,,,,,
"331800011576","VICTORY COLLEGIATE HIGH SCHOOL",2012,"General Education",,"74","73","99","3","04",,,,,,
"331800011576","VICTORY COLLEGIATE HIGH SCHOOL",2012,"Students with Disabilities",,"10","3","30","0","00",,,,,,
"331900011583","MULTICULTURAL HIGH SCHOOL",2012,"All Students",,"45","36","80","0","00",,,,,,
"331900011583","MULTICULTURAL HIGH SCHOOL",2012,"General Education",,"44","36","82","0","00",,,,,,
"331900011583","MULTICULTURAL HIGH SCHOOL",2012,"Students with Disabilities",,"1","0","00","0","00",,,,,,
"332100011559","LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC",2012,"All Students",,"36","32","89","0","00",,,,,,
"332100011559","LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC",2012,"General Education",,"27","26","96","0","00",,,,,,
"332100011559","LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC",2012,"Students with Disabilities",,"9","6","67","0","00",,,,,,
"331800011569","KURT HAHN EXPEDITIONARY LEARNING SCHOOL",2012,"All Students",,"58","43","74","5","09",,,,,,
"331800011569","KURT HAHN EXPEDITIONARY LEARNING SCHOOL",2012,"General Education",,"45","41","91","5","11",,,,,,
"331800011569","KURT HAHN EXPEDITIONARY LEARNING SCHOOL",2012,"Students with Disabilities",,"13","2","15","0","00",,,,,,
"231301040000","BEAVER RIVER CENTRAL SCHOOL DISTRICT",2012,"All Students",,"83","80","96","31","37",,,,,,
"231301040000","BEAVER RIVER CENTRAL SCHOOL DISTRICT",2012,"General Education",,"75","73","97","31","41",,,,,,
"231301040000","BEAVER RIVER CENTRAL SCHOOL DISTRICT",2012,"Students with Disabilities",,"8","7","88","0","00",,,,,,
"231101040000","SOUTH LEWIS CENTRAL SCHOOL DISTRICT",2012,"All Students",,"86","82","95","39","45",,,,,,
"231101040000","SOUTH LEWIS CENTRAL SCHOOL DISTRICT",2012,"General Education",,"80","80","100","38","48",,,,,,
"231101040000","SOUTH LEWIS CENTRAL SCHOOL DISTRICT",2012,"Students with Disabilities",,"6","2","33","1","17",,,,,,
"230901040002","LOWVILLE HIGH SCHOOL",2012,"All Students",,"102","98","96","44","43",,,,,,
"230901040002","LOWVILLE HIGH SCHOOL",2012,"General Education",,"92","92","100","43","47",,,,,,
"230901040002","LOWVILLE HIGH SCHOOL",2012,"Students with Disabilities",,"10","6","60","1","10",,,,,,
"230201040000","COPENHAGEN CENTRAL SCHOOL DISTRICT",2012,"All Students",,"47","44","94","13","28",,,,,,
"230201040000","COPENHAGEN CENTRAL SCHOOL DISTRICT",2012,"General Education",,"44","42","95","12","27",,,,,,
"230201040000","COPENHAGEN CENTRAL SCHOOL DISTRICT",2012,"Students with Disabilities",,"3","2","67","1","33",,,,,,
"171102040004","BROADALBIN-PERTH HIGH SCHOOL",2012,"All Students",,"146","139","95","73","50",,,,,,
"171102040004","BROADALBIN-PERTH HIGH SCHOOL",2012,"General Education",,"137","137","100","73","53",,,,,,
"171102040004","BROADALBIN-PERTH HIGH SCHOOL",2012,"Students with Disabilities",,"9","2","22","0","00",,,,,,
"142500010000","TONAWANDA CITY SCHOOL DISTRICT",2012,"All Students",,"153","142","93","81","53",,,,,,
"142500010000","TONAWANDA CITY SCHOOL DISTRICT",2012,"General Education",,"131","130","99","77","59",,,,,,
"142500010000","TONAWANDA CITY SCHOOL DISTRICT",2012,"Students with Disabilities",,"22","12","55","4","18",,,,,,
"140203060004","WILLIAMSVILLE SOUTH HIGH SCHOOL",2012,"All Students",,"247","237","96","148","60",,,,,,
"140203060004","WILLIAMSVILLE SOUTH HIGH SCHOOL",2012,"General Education",,"227","226","100","147","65",,,,,,
"140203060004","WILLIAMSVILLE SOUTH HIGH SCHOOL",2012,"Students with Disabilities",,"20","11","55","1","05",,,,,,
"121502040001","ROXBURY CENTRAL SCHOOL",2012,"All Students",,"22","16","73","6","27",,,,,,
"121502040001","ROXBURY CENTRAL SCHOOL",2012,"General Education",,"19","16","84","6","32",,,,,,
"121502040001","ROXBURY CENTRAL SCHOOL",2012,"Students with Disabilities",,"3","0","00","0","00",,,,,,
"121601060006","SIDNEY HIGH SCHOOL",2012,"All Students",,"88","79","90","18","20",,,,,,
"121601060006","SIDNEY HIGH SCHOOL",2012,"General Education",,"76","74","97","18","24",,,,,,
"121601060006","SIDNEY HIGH SCHOOL",2012,"Students with Disabilities",,"12","5","42","0","00",,,,,,
"121601060000","SIDNEY CENTRAL SCHOOL DISTRICT",2012,"All Students",,"93","83","89","18","19",,,,,,
"121601060000","SIDNEY CENTRAL SCHOOL DISTRICT",2012,"General Education",,"79","77","97","18","23",,,,,,
"121601060000","SIDNEY CENTRAL SCHOOL DISTRICT",2012,"Students with Disabilities",,"14","6","43","0","00",,,,,,
"120906040002","HANCOCK JUNIOR-SENIOR HIGH SCHOOL",2012,"All Students",,"33","23","70","7","21",,,,,,
"120906040002","HANCOCK JUNIOR-SENIOR HIGH SCHOOL",2012,"General Education",,"28","22","79","7","25",,,,,,
"120906040002","HANCOCK JUNIOR-SENIOR HIGH SCHOOL",2012,"Students with Disabilities",,"5","1","20","0","00",,,,,,
"121401040000","MARGARETVILLE CENTRAL SCHOOL DISTRICT",2012,"All Students",,"28","26","93","14","50",,,,,,
"121401040000","MARGARETVILLE CENTRAL SCHOOL DISTRICT",2012,"General Education",,"26","26","100","14","54",,,,,,
"121401040000","MARGARETVILLE CENTRAL SCHOOL DISTRICT",2012,"Students with Disabilities",,"2","0","00","0","00",,,,,,
"062201060003","FREDONIA HIGH SCHOOL",2012,"All Students",,"107","103","96","62","58",,,,,,
"062201060003","FREDONIA HIGH SCHOOL",2012,"General Education",,"102","101","99","61","60",,,,,,
"062201060003","FREDONIA HIGH SCHOOL",2012,"Students with Disabilities",,"5","2","40","1","20",,,,,,
"042400010013","OLEAN SENIOR HIGH SCHOOL",2012,"All Students",,"113","100","88","42","37",,,,,,
"042400010013","OLEAN SENIOR HIGH SCHOOL",2012,"General Education",,"99","97","98","42","42",,,,,,
"042400010013","OLEAN SENIOR HIGH SCHOOL",2012,"Students with Disabilities",,"14","3","21","0","00",,,,,,
"042302040000","CATTARAUGUS-LITTLE VALLEY CENTRAL SCHOOL DISTRICT",2012,"All Students",,"75","72","96","26","35",,,,,,
"042302040000","CATTARAUGUS-LITTLE VALLEY CENTRAL SCHOOL DISTRICT",2012,"General Education",,"67","66","99","25","37",,,,,,
"042302040000","CATTARAUGUS-LITTLE VALLEY CENTRAL SCHOOL DISTRICT",2012,"Students with Disabilities",,"8","6","75","1","13",,,,,,
"042302040003","CATTARAUGUS-LITTLE VALLEY HIGH SCHOOL",2012,"All Students",,"68","65","96","26","38",,,,,,
"042302040003","CATTARAUGUS-LITTLE VALLEY HIGH SCHOOL",2012,"General Education",,"62","61","98","25","40",,,,,,
"042302040003","CATTARAUGUS-LITTLE VALLEY HIGH SCHOOL",2012,"Students with Disabilities",,"6","4","67","1","17",,,,,,
"010623060010","SHAKER HIGH SCHOOL",2012,"All Students",,"481","472","98","297","62",,,,,,
"010623060010","SHAKER HIGH SCHOOL",2012,"General Education",,"422","421","100","294","70",,,,,,
"010623060010","SHAKER HIGH SCHOOL",2012,"Students with Disabilities",,"59","51","86","3","05",,,,,,
"321000011437","FORDHAM HIGH SCHOOL FOR THE ARTS",2012,"All Students",,"65","58","89","9","14",,,,,,
"321000011437","FORDHAM HIGH SCHOOL FOR THE ARTS",2012,"General Education",,"57","53","93","9","16",,,,,,
"321000011437","FORDHAM HIGH SCHOOL FOR THE ARTS",2012,"Students with Disabilities",,"8","5","63","0","00",,,,,,
"321000011438","FORDHAM LEADERSHIP ACADEMY FOR BUSINESS & TECHNOLOGY",2012,"All Students",,"61","48","79","0","00",,,,,,
"321000011438","FORDHAM LEADERSHIP ACADEMY FOR BUSINESS & TECHNOLOGY",2012,"General Education",,"55","47","85","0","00",,,,,,
"321000011438","FORDHAM LEADERSHIP ACADEMY FOR BUSINESS & TECHNOLOGY",2012,"Students with Disabilities",,"6","1","17","0","00",,,,,,
"321000011439","BRONX HIGH SCHOOL-LAW AND COMMUNITY SERVICES",2012,"All Students",,"83","59","71","0","00",,,,,,
"321000011439","BRONX HIGH SCHOOL-LAW AND COMMUNITY SERVICES",2012,"General Education",,"70","55","79","0","00",,,,,,
"321000011439","BRONX HIGH SCHOOL-LAW AND COMMUNITY SERVICES",2012,"Students with Disabilities",,"13","4","31","0","00",,,,,,
"342800011687","QUEENS HIGH SCHOOL FOR THE SCIENCES AT YORK COLLEGE",2012,"All Students",,"117","117","100","105","90",,,,,,
"342800011687","QUEENS HIGH SCHOOL FOR THE SCIENCES AT YORK COLLEGE",2012,"General Education",,"115","115","100","103","90",,,,,,
"342800011687","QUEENS HIGH SCHOOL FOR THE SCIENCES AT YORK COLLEGE",2012,"Students with Disabilities",,"2","2","100","2","100",,,,,,
"310300011492","HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE",2012,"All Students",,"77","69","90","10","13",,,,,,
"310300011492","HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE",2012,"General Education",,"67","66","99","10","15",,,,,,
"310300011492","HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE",2012,"Students with Disabilities",,"10","3","30","0","00",,,,,,
"310300011494","HIGH SCHOOL OF ARTS AND TECHNOLOGY",2012,"All Students",,"101","92","91","1","01",,,,,,
"310300011494","HIGH SCHOOL OF ARTS AND TECHNOLOGY",2012,"General Education",,"93","86","92","1","01",,,,,,
"310300011494","HIGH SCHOOL OF ARTS AND TECHNOLOGY",2012,"Students with Disabilities",,"8","6","75","0","00",,,,,,
"310500011692","HIGH SCHOOL MATH SCIENCE AND ENGINEERING AT CCNY",2012,"All Students",,"102","102","100","86","84",,,,,,
"310500011692","HIGH SCHOOL MATH SCIENCE AND ENGINEERING AT CCNY",2012,"General Education",,"100","100","100","84","84",,,,,,
"310500011692","HIGH SCHOOL MATH SCIENCE AND ENGINEERING AT CCNY",2012,"Students with Disabilities",,"2","2","100","2","100",,,,,,
"343000011580","BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION",2012,"All Students",,"56","56","100","8","14",,,,,,
"343000011580","BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION",2012,"General Education",,"56","56","100","8","14",,,,,,
"343000011580","BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION",2012,"Students with Disabilities",,"0","0",,"0",,,,,,,
"310500860864","HARLEM CHILDREN'S ZONE PROMISE ACADEMY CHARTER SCHOOL",2012,"All Students",,"62","60","97","15","24",,,,,,
"310500860864","HARLEM CHILDREN'S ZONE PROMISE ACADEMY CHARTER SCHOOL",2012,"General Education",,"50","50","100","15","30",,,,,,
"310500860864","HARLEM CHILDREN'S ZONE PROMISE ACADEMY CHARTER SCHOOL",2012,"Students with Disabilities",,"12","10","83","0","00",,,,,,
"331400860865","WILLIAMSBURG CHARTER HIGH SCHOOL",2012,"All Students",,"197","172","87","17","09",,,,,,
"331400860865","WILLIAMSBURG CHARTER HIGH SCHOOL",2012,"General Education",,"171","158","92","17","10",,,,,,
"331400860865","WILLIAMSBURG CHARTER HIGH SCHOOL",2012,"Students with Disabilities",,"26","14","54","0","00",,,,,,
"261600010069","SCHOOL WITHOUT WALLS",2012,"All Students",,"73","73","100","0","00",,,,,,
"261600010069","SCHOOL WITHOUT WALLS",2012,"General Education",,"70","70","100","0","00",,,,,,
"261600010069","SCHOOL WITHOUT WALLS",2012,"Students with Disabilities",,"3","3","100","0","00",,,,,,
"010201040000","BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT",2012,"All Students",,"83","79","95","37","45",,,,,,
"010201040000","BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT",2012,"General Education",,"73","73","100","36","49",,,,,,
"010201040000","BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT",2012,"Students with Disabilities",,"10","6","60","1","10",,,,,,
"010201040001","BERNE-KNOX-WESTERLO JUNIOR-SENIOR HIGH SCHOOL",2012,"All Students",,"80","76","95","35","44",,,,,,
"010201040001","BERNE-KNOX-WESTERLO JUNIOR-SENIOR HIGH SCHOOL",2012,"General Education",,"71","71","100","34","48",,,,,,
"010201040001","BERNE-KNOX-WESTERLO JUNIOR-SENIOR HIGH SCHOOL",2012,"Students with Disabilities",,"9","5","56","1","11",,,,,,
"630101040001","BOLTON CENTRAL SCHOOL",2012,"All Students",,"29","27","93","9","31",,,,,,
"630101040001","BOLTON CENTRAL SCHOOL",2012,"General Education",,"28","27","96","9","32",,,,,,
"630101040001","BOLTON CENTRAL SCHOOL",2012,"Students with Disabilities",,"1","0","00","0","00",,,,,,
"630202040000","NORTH WARREN CENTRAL SCHOOL DISTRICT",2012,"All Students",,"45","43","96","18","40",,,,,,
"630202040000","NORTH WARREN CENTRAL SCHOOL DISTRICT",2012,"General Education",,"41","41","100","18","44",,,,,,
"630202040000","NORTH WARREN CENTRAL SCHOOL DISTRICT",2012,"Students with Disabilities",,"4","2","50","0","00",,,,,,
"630202040001","NORTH WARREN CENTRAL SCHOOL",2012,"All Students",,"45","43","96","18","40",,,,,,
"630202040001","NORTH WARREN CENTRAL SCHOOL",2012,"General Education",,"41","41","100","18","44",,,,,,
"630202040001","NORTH WARREN CENTRAL SCHOOL",2012,"Students with Disabilities",,"4","2","50","0","00",,,,,,
"622002060000","ELLENVILLE CENTRAL SCHOOL DISTRICT",2012,"All Students",,"96","85","89","32","33",,,,,,
"622002060000","ELLENVILLE CENTRAL SCHOOL DISTRICT",2012,"General Education",,"83","81","98","31","37",,,,,,
"622002060000","ELLENVILLE CENTRAL SCHOOL DISTRICT",2012,"Students with Disabilities",,"13","4","31","1","08",,,,,,
"622002060004","ELLENVILLE HIGH SCHOOL",2012,"All Students",,"95","85","89","32","34",,,,,,
"622002060004","ELLENVILLE HIGH SCHOOL",2012,"General Education",,"83","81","98","31","37",,,,,,
"622002060004","ELLENVILLE HIGH SCHOOL",2012,"Students with Disabilities",,"12","4","33","1","08",,,,,,
"591502040004","SULLIVAN WEST HIGH SCHOOL AT LAKE HUNTINGTON",2012,"All Students",,"112","109","97","50","45",,,,,,
"591502040004","SULLIVAN WEST HIGH SCHOOL AT LAKE HUNTINGTON",2012,"General Education",,"105","104","99","50","48",,,,,,
"591502040004","SULLIVAN WEST HIGH SCHOOL AT LAKE HUNTINGTON",2012,"Students with Disabilities",,"7","5","71","0","00",,,,,,
"591502040000","SULLIVAN WEST CENTRAL SCHOOL DISTRICT",2012,"All Students",,"117","112","96","50","43",,,,,,
"591502040000","SULLIVAN WEST CENTRAL SCHOOL DISTRICT",2012,"General Education",,"107","106","99","50","47",,,,,,
"591502040000","SULLIVAN WEST CENTRAL SCHOOL DISTRICT",2012,"Students with Disabilities",,"10","6","60","0","00",,,,,,
"591401060005","MONTICELLO HIGH SCHOOL",2012,"All Students",,"233","193","83","42","18",,,,,,
"591401060005","MONTICELLO HIGH SCHOOL",2012,"General Education",,"207","179","86","42","20",,,,,,
"591401060005","MONTICELLO HIGH SCHOOL",2012,"Students with Disabilities",,"26","14","54","0","00",,,,,,
"591401060006","ROBERT J KAISER MIDDLE SCHOOL",2012,"All Students",,"0","0",,"0",,,,,,,
"591401060006","ROBERT J KAISER MIDDLE SCHOOL",2012,"General Education",,"0","0",,"0",,,,,,,
"591401060006","ROBERT J KAISER MIDDLE SCHOOL",2012,"Students with Disabilities",,"0","0",,"0",,,,,,,
"591401060000","MONTICELLO CENTRAL SCHOOL DISTRICT",2012,"All Students",,"233","193","83","42","18",,,,,,
"591401060000","MONTICELLO CENTRAL SCHOOL DISTRICT",2012,"General Education",,"207","179","86","42","20",,,,,,
"591401060000","MONTICELLO CENTRAL SCHOOL DISTRICT",2012,"Students with Disabilities",,"26","14","54","0","00",,,,,,
"580512030000","BRENTWOOD UNION FREE SCHOOL DISTRICT",2012,"All Students",,"1113","1007","90","255","23",,,,,,
"580512030000","BRENTWOOD UNION FREE SCHOOL DISTRICT",2012,"General Education",,"987","926","94","254","26",,,,,,
"580512030000","BRENTWOOD UNION FREE SCHOOL DISTRICT",2012,"Students with Disabilities",,"126","81","64","1","01",,,,,,
"580512030018","BRENTWOOD HIGH SCHOOL",2012,"All Students",,"1102","1004","91","255","23",,,,,,
"580512030018","BRENTWOOD HIGH SCHOOL",2012,"General Education",,"986","926","94","254","26",,,,,,
"580512030018","BRENTWOOD HIGH SCHOOL",2012,"Students with Disabilities",,"116","78","67","1","01",,,,,,
"580509030012","WEST ISLIP SENIOR HIGH SCHOOL",2012,"All Students",,"473","452","96","276","58",,,,,,
"580509030012","WEST ISLIP SENIOR HIGH SCHOOL",2012,"General Education",,"425","422","99","274","64",,,,,,
"580509030012","WEST ISLIP SENIOR HIGH SCHOOL",2012,"Students with Disabilities",,"48","30","63","2","04",,,,,,
"580509030000","WEST ISLIP UNION FREE SCHOOL DISTRICT",2012,"All Students",,"473","452","96","276","58",,,,,,
"580509030000","WEST ISLIP UNION FREE SCHOOL DISTRICT",2012,"General Education",,"425","422","99","274","64",,,,,,
"580509030000","WEST ISLIP UNION FREE SCHOOL DISTRICT",2012,"Students with Disabilities",,"48","30","63","2","04",,,,,,
"310200011586","HARVEY MILK HIGH SCHOOL",2012,"All Students",,"10","5","50","0","00",,,,,,
"310200011586","HARVEY MILK HIGH SCHOOL",2012,"General Education",,"9","5","56","0","00",,,,,,
"310200011586","HARVEY MILK HIGH SCHOOL",2012,"Students with Disabilities",,"1","0","00","0","00",,,,,,
"342800011690","HS FOR LAW ENFORCEMENT AND PUBLIC SAFETY",2012,"All Students",,"99","83","84","1","01",,,,,,
"342800011690","HS FOR LAW ENFORCEMENT AND PUBLIC SAFETY",2012,"General Education",,"90","82","91","1","01",,,,,,
"342800011690","HS FOR LAW ENFORCEMENT AND PUBLIC SAFETY",2012,"Students with Disabilities",,"9","1","11","0","00",,,,,,
"331500011463","SECONDARY SCHOOL FOR JOURNALISM",2012,"All Students",,"55","47","85","0","00",,,,,,
"331500011463","SECONDARY SCHOOL FOR JOURNALISM",2012,"General Education",,"54","46","85","0","00",,,,,,
"331500011463","SECONDARY SCHOOL FOR JOURNALISM",2012,"Students with Disabilities",,"1","1","100","0","00",,,,,,
"331500011464","PARK SLOPE COLLEGIATE",2012,"All Students",,"76","64","84","8","11",,,,,,
"331500011464","PARK SLOPE COLLEGIATE",2012,"General Education",,"69","62","90","8","12",,,,,,
"331500011464","PARK SLOPE COLLEGIATE",2012,"Students with Disabilities",,"7","2","29","0","00",,,,,,
"261600010084","GLOBAL MEDIA ARTS HS AT FRANKLIN",2012,"All Students",,"40","28","70","0","00",,,,,,
"261600010084","GLOBAL MEDIA ARTS HS AT FRANKLIN",2012,"General Education",,"35","27","77","0","00",,,,,,
"261600010084","GLOBAL MEDIA ARTS HS AT FRANKLIN",2012,"Students with Disabilities",,"5","1","20","0","00",,,,,,
"261600010085","DR FREDDIE THOMAS HIGH SCHOOL",2012,"All Students",,"95","81","85","6","06",,,,,,
"261600010085","DR FREDDIE THOMAS HIGH SCHOOL",2012,"General Education",,"90","80","89","6","07",,,,,,
"261600010085","DR FREDDIE THOMAS HIGH SCHOOL",2012,"Students with Disabilities",,"5","1","20","0","00",,,,,,
"261600010086","INTERNATIONAL FINANCE & ECONOMIC DEVELOPMENT HS AT FRANKLIN",2012,"All Students",,"27","19","70","0","00",,,,,,
"261600010086","INTERNATIONAL FINANCE & ECONOMIC DEVELOPMENT HS AT FRANKLIN",2012,"General Education",,"26","18","69","0","00",,,,,,
