"ENTITY_CD","ENTITY_NAME","YEAR","SUBGROUP_NAME","DROPOUT","PER_DROPOUT","EQUIV","PER_EQUIV","TOTALNON","PER_TOTALNON","TOTAL_ENROLLMENT_BASE"
"000000000006","Low Need Districts",2013,"Students with Disabilities","171","01","43","00","214","01",17082
"000000000007","Charter Schools",2013,"All Students","291","03","33","00","324","04",9057
"000000000007","Charter Schools",2013,"General Education","245","03","19","00","264","03",7891
"000000000007","Charter Schools",2013,"Students with Disabilities","46","04","14","01","60","05",1252
"332200011405","MIDWOOD HIGH SCHOOL",2012,"All Students","104","03","5","00","109","03",3869
"332200011405","MIDWOOD HIGH SCHOOL",2012,"General Education","85","02","4","00","89","02",3659
"332200011405","MIDWOOD HIGH SCHOOL",2012,"Students with Disabilities","19","09","1","00","20","10",210
"331300011509","FREEDOM ACADEMY HIGH SCHOOL",2012,"All Students","8","04","1","00","9","04",218
"331300011509","FREEDOM ACADEMY HIGH SCHOOL",2012,"General Education","7","04","1","01","8","05",165
"331300011509","FREEDOM ACADEMY HIGH SCHOOL",2012,"Students with Disabilities","1","02","0","00","1","02",53
"421800010033","CORCORAN HIGH SCHOOL",2012,"All Students","111","09","25","02","136","11",1294
"421800010033","CORCORAN HIGH SCHOOL",2012,"General Education","84","08","22","02","106","10",1015
"421800010033","CORCORAN HIGH SCHOOL",2012,"Students with Disabilities","27","10","3","01","30","11",279
"421800010000","SYRACUSE CITY SCHOOL DISTRICT",2012,"All Students","648","11","110","02","758","13",5861
"421800010000","SYRACUSE CITY SCHOOL DISTRICT",2012,"General Education","500","11","83","02","583","13",4598
"421800010000","SYRACUSE CITY SCHOOL DISTRICT",2012,"Students with Disabilities","148","12","27","02","175","14",1263
"421800010003","CLARY MIDDLE SCHOOL",2012,"All Students","3","30","0","00","3","30",10
"421800010003","CLARY MIDDLE SCHOOL",2012,"General Education","0",,"0",,"0",,0
"421800010003","CLARY MIDDLE SCHOOL",2012,"Students with Disabilities","1","10","0","00","1","10",10
"412201060000","HOLLAND PATENT CENTRAL SCHOOL DISTRICT",2012,"All Students","2","00","1","00","3","01",549
"412201060000","HOLLAND PATENT CENTRAL SCHOOL DISTRICT",2012,"General Education","0","00","0","00","0","00",477
"000001000000","ALBANY County",2013,"All Students","372","03","52","00","424","03",12750
"000001000000","ALBANY County",2013,"General Education","287","03","40","00","327","03",10803
"000001000000","ALBANY County",2013,"Students with Disabilities","85","04","12","01","97","05",1947
"000002000000","ALLEGANY County",2013,"All Students","45","02","6","00","51","02",2169
"000002000000","ALLEGANY County",2013,"General Education","22","01","3","00","25","01",1839
"000002000000","ALLEGANY County",2013,"Students with Disabilities","23","07","3","01","26","08",330
"412201060000","HOLLAND PATENT CENTRAL SCHOOL DISTRICT",2012,"Students with Disabilities","2","03","1","01","3","04",72
"411902040000","WATERVILLE CENTRAL SCHOOL DISTRICT",2012,"All Students","3","01","2","01","5","02",269
"411902040000","WATERVILLE CENTRAL SCHOOL DISTRICT",2012,"General Education","3","01","2","01","5","02",240
"411902040000","WATERVILLE CENTRAL SCHOOL DISTRICT",2012,"Students with Disabilities","0","00","0","00","0","00",29
"411902040003","WATERVILLE JR/SR HIGH SCHOOL",2012,"All Students","2","01","2","01","4","02",262
"411902040003","WATERVILLE JR/SR HIGH SCHOOL",2012,"General Education","2","01","2","01","4","02",237
"411902040003","WATERVILLE JR/SR HIGH SCHOOL",2012,"Students with Disabilities","0","00","0","00","0","00",25
"412000050000","SHERRILL CITY SCHOOL DISTRICT",2012,"All Students","3","00","0","00","3","00",665
"412000050000","SHERRILL CITY SCHOOL DISTRICT",2012,"General Education","3","01","0","00","3","01",581
"412000050000","SHERRILL CITY SCHOOL DISTRICT",2012,"Students with Disabilities","0","00","0","00","0","00",84
"260401060000","GATES-CHILI CENTRAL SCHOOL DISTRICT",2012,"All Students","30","02","24","02","54","03",1576
"260401060000","GATES-CHILI CENTRAL SCHOOL DISTRICT",2012,"General Education","14","01","20","02","34","03",1292
"260401060000","GATES-CHILI CENTRAL SCHOOL DISTRICT",2012,"Students with Disabilities","16","06","4","01","20","07",284
"500401060009","SUFFERN SENIOR HIGH SCHOOL",2012,"All Students","3","00","5","00","8","01",1479
"500401060009","SUFFERN SENIOR HIGH SCHOOL",2012,"General Education","2","00","4","00","6","00",1292
"500401060009","SUFFERN SENIOR HIGH SCHOOL",2012,"Students with Disabilities","1","01","1","01","2","01",187
"420901060007","CHARLES W BAKER HIGH SCHOOL",2012,"All Students","20","01","3","00","23","02",1385
"420901060007","CHARLES W BAKER HIGH SCHOOL",2012,"General Education","16","01","0","00","16","01",1222
"420901060007","CHARLES W BAKER HIGH SCHOOL",2012,"Students with Disabilities","4","02","3","02","7","04",163
"420807040000","LAFAYETTE CENTRAL SCHOOL DISTRICT",2012,"All Students","1","00","0","00","1","00",287
"420807040000","LAFAYETTE CENTRAL SCHOOL DISTRICT",2012,"General Education","1","00","0","00","1","00",230
"420807040000","LAFAYETTE CENTRAL SCHOOL DISTRICT",2012,"Students with Disabilities","0","00","0","00","0","00",57
"410401060000","ADIRONDACK CENTRAL SCHOOL DISTRICT",2012,"All Students","9","02","2","00","11","03",436
"410401060000","ADIRONDACK CENTRAL SCHOOL DISTRICT",2012,"General Education","6","02","2","01","8","02",386
"410401060000","ADIRONDACK CENTRAL SCHOOL DISTRICT",2012,"Students with Disabilities","3","06","0","00","3","06",50
"332300011493","BROOKLYN COLLEGIATE-A COLLEGE BOARD SCHOOL",2012,"All Students","14","04","1","00","15","04",377
"332300011493","BROOKLYN COLLEGIATE-A COLLEGE BOARD SCHOOL",2012,"General Education","10","03","1","00","11","04",313
"332300011493","BROOKLYN COLLEGIATE-A COLLEGE BOARD SCHOOL",2012,"Students with Disabilities","4","06","0","00","4","06",64
"331400011488","BROOKLYN PREPARATORY HIGH SCHOOL",2012,"All Students","10","02","2","00","12","03",402
"331400011488","BROOKLYN PREPARATORY HIGH SCHOOL",2012,"General Education","8","02","0","00","8","02",324
"331400011488","BROOKLYN PREPARATORY HIGH SCHOOL",2012,"Students with Disabilities","2","03","2","03","4","05",78
"331700011568","BROWNSVILLE ACADEMY HIGH SCHOOL",2012,"All Students","36","17","1","00","37","18",211
"331700011568","BROWNSVILLE ACADEMY HIGH SCHOOL",2012,"General Education","31","16","1","01","32","17",191
"331700011568","BROWNSVILLE ACADEMY HIGH SCHOOL",2012,"Students with Disabilities","5","25","0","00","5","25",20
"333200010564","BUSHWICK COMMUNITY HIGH SCHOOL",2012,"All Students","149","52","6","02","155","54",289
"333200010564","BUSHWICK COMMUNITY HIGH SCHOOL",2012,"General Education","134","53","5","02","139","55",253
"333200010564","BUSHWICK COMMUNITY HIGH SCHOOL",2012,"Students with Disabilities","15","42","1","03","16","44",36
"331800011578","BROOKLYN BRIDGE ACADEMY",2012,"All Students","68","35","6","03","74","38",196
"331800011578","BROOKLYN BRIDGE ACADEMY",2012,"General Education","56","33","6","03","62","36",172
"331800011578","BROOKLYN BRIDGE ACADEMY",2012,"Students with Disabilities","12","50","0","00","12","50",24
"320800011377","BRONX COMMUNITY HIGH SCHOOL",2012,"All Students","54","32","8","05","62","37",168
"320800011377","BRONX COMMUNITY HIGH SCHOOL",2012,"General Education","52","33","7","04","59","37",159
"320800011377","BRONX COMMUNITY HIGH SCHOOL",2012,"Students with Disabilities","2","22","1","11","3","33",9
"310500011367","ACADEMY FOR SOCIAL ACTION-A COLLEGE BOARD SCHOOL",2012,"All Students","1","00","1","00","2","01",291
"310500011367","ACADEMY FOR SOCIAL ACTION-A COLLEGE BOARD SCHOOL",2012,"General Education","0","00","0","00","0","00",235
"310500011367","ACADEMY FOR SOCIAL ACTION-A COLLEGE BOARD SCHOOL",2012,"Students with Disabilities","1","02","1","02","2","04",56
"331400011586","LYONS COMMUNITY SCHOOL",2012,"All Students","27","09","2","01","29","09",313
"331400011586","LYONS COMMUNITY SCHOOL",2012,"General Education","20","08","1","00","21","08",248
"331400011586","LYONS COMMUNITY SCHOOL",2012,"Students with Disabilities","7","11","1","02","8","12",65
"331800011576","VICTORY COLLEGIATE HIGH SCHOOL",2012,"All Students","12","04","2","01","14","04",327
"331800011576","VICTORY COLLEGIATE HIGH SCHOOL",2012,"General Education","6","02","1","00","7","03",267
"331800011576","VICTORY COLLEGIATE HIGH SCHOOL",2012,"Students with Disabilities","6","10","1","02","7","12",60
"331900011583","MULTICULTURAL HIGH SCHOOL",2012,"All Students","46","11","0","00","46","11",414
"331900011583","MULTICULTURAL HIGH SCHOOL",2012,"General Education","46","11","0","00","46","11",409
"331900011583","MULTICULTURAL HIGH SCHOOL",2012,"Students with Disabilities","0","00","0","00","0","00",5
"332100011559","LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC",2012,"All Students","8","03","0","00","8","03",245
"332100011559","LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC",2012,"General Education","7","04","0","00","7","04",194
"332100011559","LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC",2012,"Students with Disabilities","1","02","0","00","1","02",51
"331800011569","KURT HAHN EXPEDITIONARY LEARNING SCHOOL",2012,"All Students","16","05","3","01","19","06",294
"331800011569","KURT HAHN EXPEDITIONARY LEARNING SCHOOL",2012,"General Education","9","04","2","01","11","05",230
"331800011569","KURT HAHN EXPEDITIONARY LEARNING SCHOOL",2012,"Students with Disabilities","7","11","1","02","8","13",64
"231301040000","BEAVER RIVER CENTRAL SCHOOL DISTRICT",2012,"All Students","4","01","4","01","8","03",312
"231301040000","BEAVER RIVER CENTRAL SCHOOL DISTRICT",2012,"General Education","3","01","1","00","4","01",273
"231301040000","BEAVER RIVER CENTRAL SCHOOL DISTRICT",2012,"Students with Disabilities","1","03","3","08","4","10",39
"231101040000","SOUTH LEWIS CENTRAL SCHOOL DISTRICT",2012,"All Students","14","04","1","00","15","04",373
"231101040000","SOUTH LEWIS CENTRAL SCHOOL DISTRICT",2012,"General Education","10","03","0","00","10","03",308
"231101040000","SOUTH LEWIS CENTRAL SCHOOL DISTRICT",2012,"Students with Disabilities","4","06","1","02","5","08",65
"230901040002","LOWVILLE HIGH SCHOOL",2012,"All Students","8","02","1","00","9","02",402
"230901040002","LOWVILLE HIGH SCHOOL",2012,"General Education","6","02","1","00","7","02",353
"230901040002","LOWVILLE HIGH SCHOOL",2012,"Students with Disabilities","2","04","0","00","2","04",49
"230201040000","COPENHAGEN CENTRAL SCHOOL DISTRICT",2012,"All Students","1","01","0","00","1","01",170
"230201040000","COPENHAGEN CENTRAL SCHOOL DISTRICT",2012,"General Education","1","01","0","00","1","01",143
"230201040000","COPENHAGEN CENTRAL SCHOOL DISTRICT",2012,"Students with Disabilities","0","00","0","00","0","00",27
"171102040004","BROADALBIN-PERTH HIGH SCHOOL",2012,"All Students","4","01","0","00","4","01",568
"171102040004","BROADALBIN-PERTH HIGH SCHOOL",2012,"General Education","4","01","0","00","4","01",507
"171102040004","BROADALBIN-PERTH HIGH SCHOOL",2012,"Students with Disabilities","0","00","0","00","0","00",61
"142500010000","TONAWANDA CITY SCHOOL DISTRICT",2012,"All Students","14","02","0","00","14","02",622
"142500010000","TONAWANDA CITY SCHOOL DISTRICT",2012,"General Education","11","02","0","00","11","02",521
"142500010000","TONAWANDA CITY SCHOOL DISTRICT",2012,"Students with Disabilities","3","03","0","00","3","03",101
"140203060004","WILLIAMSVILLE SOUTH HIGH SCHOOL",2012,"All Students","3","00","1","00","4","00",966
"140203060004","WILLIAMSVILLE SOUTH HIGH SCHOOL",2012,"General Education","3","00","1","00","4","00",867
"140203060004","WILLIAMSVILLE SOUTH HIGH SCHOOL",2012,"Students with Disabilities","0","00","0","00","0","00",99
"121502040001","ROXBURY CENTRAL SCHOOL",2012,"All Students","1","01","0","00","1","01",111
"121502040001","ROXBURY CENTRAL SCHOOL",2012,"General Education","0","00","0","00","0","00",89
"121502040001","ROXBURY CENTRAL SCHOOL",2012,"Students with Disabilities","1","05","0","00","1","05",22
"121601060006","SIDNEY HIGH SCHOOL",2012,"All Students","8","02","0","00","8","02",362
"121601060006","SIDNEY HIGH SCHOOL",2012,"General Education","5","02","0","00","5","02",308
"121601060006","SIDNEY HIGH SCHOOL",2012,"Students with Disabilities","3","06","0","00","3","06",54
"121601060000","SIDNEY CENTRAL SCHOOL DISTRICT",2012,"All Students","12","03","0","00","12","03",398
"121601060000","SIDNEY CENTRAL SCHOOL DISTRICT",2012,"General Education","8","02","0","00","8","02",328
"121601060000","SIDNEY CENTRAL SCHOOL DISTRICT",2012,"Students with Disabilities","4","06","0","00","4","06",70
"120906040002","HANCOCK JUNIOR-SENIOR HIGH SCHOOL",2012,"All Students","3","02","0","00","3","02",148
"120906040002","HANCOCK JUNIOR-SENIOR HIGH SCHOOL",2012,"General Education","3","02","0","00","3","02",124
"120906040002","HANCOCK JUNIOR-SENIOR HIGH SCHOOL",2012,"Students with Disabilities","0","00","0","00","0","00",24
"121401040000","MARGARETVILLE CENTRAL SCHOOL DISTRICT",2012,"All Students","2","01","1","01","3","02",140
"121401040000","MARGARETVILLE CENTRAL SCHOOL DISTRICT",2012,"General Education","2","02","1","01","3","03",112
"121401040000","MARGARETVILLE CENTRAL SCHOOL DISTRICT",2012,"Students with Disabilities","0","00","0","00","0","00",28
"062201060003","FREDONIA HIGH SCHOOL",2012,"All Students","6","01","2","00","8","02",500
"062201060003","FREDONIA HIGH SCHOOL",2012,"General Education","5","01","1","00","6","01",464
"062201060003","FREDONIA HIGH SCHOOL",2012,"Students with Disabilities","1","03","1","03","2","06",36
"042400010013","OLEAN SENIOR HIGH SCHOOL",2012,"All Students","19","03","7","01","26","04",603
"042400010013","OLEAN SENIOR HIGH SCHOOL",2012,"General Education","13","02","7","01","20","04",525
"042400010013","OLEAN SENIOR HIGH SCHOOL",2012,"Students with Disabilities","6","08","0","00","6","08",78
"042302040000","CATTARAUGUS-LITTLE VALLEY CENTRAL SCHOOL DISTRICT",2012,"All Students","3","01","1","00","4","01",329
"042302040000","CATTARAUGUS-LITTLE VALLEY CENTRAL SCHOOL DISTRICT",2012,"General Education","3","01","1","00","4","02",252
"042302040000","CATTARAUGUS-LITTLE VALLEY CENTRAL SCHOOL DISTRICT",2012,"Students with Disabilities","0","00","0","00","0","00",77
"042302040003","CATTARAUGUS-LITTLE VALLEY HIGH SCHOOL",2012,"All Students","3","01","1","00","4","01",305
"042302040003","CATTARAUGUS-LITTLE VALLEY HIGH SCHOOL",2012,"General Education","3","01","1","00","4","02",243
"042302040003","CATTARAUGUS-LITTLE VALLEY HIGH SCHOOL",2012,"Students with Disabilities","0","00","0","00","0","00",62
"010623060010","SHAKER HIGH SCHOOL",2012,"All Students","17","01","0","00","17","01",2065
"010623060010","SHAKER HIGH SCHOOL",2012,"General Education","14","01","0","00","14","01",1772
"010623060010","SHAKER HIGH SCHOOL",2012,"Students with Disabilities","3","01","0","00","3","01",293
"321000011437","FORDHAM HIGH SCHOOL FOR THE ARTS",2012,"All Students","8","02","1","00","9","02",386
"321000011437","FORDHAM HIGH SCHOOL FOR THE ARTS",2012,"General Education","5","02","0","00","5","02",298
"321000011437","FORDHAM HIGH SCHOOL FOR THE ARTS",2012,"Students with Disabilities","3","03","1","01","4","05",88
"321000011438","FORDHAM LEADERSHIP ACADEMY FOR BUSINESS & TECHNOLOGY",2012,"All Students","38","08","6","01","44","10",448
"321000011438","FORDHAM LEADERSHIP ACADEMY FOR BUSINESS & TECHNOLOGY",2012,"General Education","33","09","4","01","37","11",351
"321000011438","FORDHAM LEADERSHIP ACADEMY FOR BUSINESS & TECHNOLOGY",2012,"Students with Disabilities","5","05","2","02","7","07",97
"321000011439","BRONX HIGH SCHOOL-LAW AND COMMUNITY SERVICES",2012,"All Students","28","06","5","01","33","08",435
"321000011439","BRONX HIGH SCHOOL-LAW AND COMMUNITY SERVICES",2012,"General Education","22","07","4","01","26","08",336
"321000011439","BRONX HIGH SCHOOL-LAW AND COMMUNITY SERVICES",2012,"Students with Disabilities","6","06","1","01","7","07",99
"342800011687","QUEENS HIGH SCHOOL FOR THE SCIENCES AT YORK COLLEGE",2012,"All Students","0","00","0","00","0","00",419
"342800011687","QUEENS HIGH SCHOOL FOR THE SCIENCES AT YORK COLLEGE",2012,"General Education","0","00","0","00","0","00",415
"342800011687","QUEENS HIGH SCHOOL FOR THE SCIENCES AT YORK COLLEGE",2012,"Students with Disabilities","0","00","0","00","0","00",4
"310300011492","HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE",2012,"All Students","22","04","1","00","23","04",543
"310300011492","HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE",2012,"General Education","15","03","0","00","15","03",457
"310300011492","HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE",2012,"Students with Disabilities","7","08","1","01","8","09",86
"310300011494","HIGH SCHOOL OF ARTS AND TECHNOLOGY",2012,"All Students","31","05","3","00","34","06",605
"310300011494","HIGH SCHOOL OF ARTS AND TECHNOLOGY",2012,"General Education","24","05","2","00","26","05",497
"310300011494","HIGH SCHOOL OF ARTS AND TECHNOLOGY",2012,"Students with Disabilities","7","06","1","01","8","07",108
"310500011692","HIGH SCHOOL MATH SCIENCE AND ENGINEERING AT CCNY",2012,"All Students","1","00","0","00","1","00",406
"310500011692","HIGH SCHOOL MATH SCIENCE AND ENGINEERING AT CCNY",2012,"General Education","1","00","0","00","1","00",395
"310500011692","HIGH SCHOOL MATH SCIENCE AND ENGINEERING AT CCNY",2012,"Students with Disabilities","0","00","0","00","0","00",11
"343000011580","BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION",2012,"All Students","0","00","0","00","0","00",259
"343000011580","BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION",2012,"General Education","0","00","0","00","0","00",258
"343000011580","BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION",2012,"Students with Disabilities","0",,"0",,"0",,0
"310500860864","HARLEM CHILDREN'S ZONE PROMISE ACADEMY CHARTER SCHOOL",2012,"All Students","0","00","0","00","0","00",129
"310500860864","HARLEM CHILDREN'S ZONE PROMISE ACADEMY CHARTER SCHOOL",2012,"General Education","0","00","0","00","0","00",105
"310500860864","HARLEM CHILDREN'S ZONE PROMISE ACADEMY CHARTER SCHOOL",2012,"Students with Disabilities","0","00","0","00","0","00",24
"331400860865","WILLIAMSBURG CHARTER HIGH SCHOOL",2012,"All Students","40","04","4","00","44","04",1021
"331400860865","WILLIAMSBURG CHARTER HIGH SCHOOL",2012,"General Education","34","04","3","00","37","04",877
"331400860865","WILLIAMSBURG CHARTER HIGH SCHOOL",2012,"Students with Disabilities","6","04","1","01","7","05",144
"261600010069","SCHOOL WITHOUT WALLS",2012,"All Students","16","05","0","00","16","05",304
"261600010069","SCHOOL WITHOUT WALLS",2012,"General Education","16","06","0","00","16","06",280
"261600010069","SCHOOL WITHOUT WALLS",2012,"Students with Disabilities","0","00","0","00","0","00",24
"010201040000","BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT",2012,"All Students","2","01","0","00","2","01",318
"010201040000","BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT",2012,"General Education","2","01","0","00","2","01",252
"010201040000","BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT",2012,"Students with Disabilities","0","00","0","00","0","00",66
"010201040001","BERNE-KNOX-WESTERLO JUNIOR-SENIOR HIGH SCHOOL",2012,"All Students","2","01","0","00","2","01",300
"010201040001","BERNE-KNOX-WESTERLO JUNIOR-SENIOR HIGH SCHOOL",2012,"General Education","2","01","0","00","2","01",247
"010201040001","BERNE-KNOX-WESTERLO JUNIOR-SENIOR HIGH SCHOOL",2012,"Students with Disabilities","0","00","0","00","0","00",53
"630101040001","BOLTON CENTRAL SCHOOL",2012,"All Students","0","00","0","00","0","00",95
"630101040001","BOLTON CENTRAL SCHOOL",2012,"General Education","0","00","0","00","0","00",91
"630101040001","BOLTON CENTRAL SCHOOL",2012,"Students with Disabilities","0","00","0","00","0","00",4
"630202040000","NORTH WARREN CENTRAL SCHOOL DISTRICT",2012,"All Students","2","01","2","01","4","02",166
"630202040000","NORTH WARREN CENTRAL SCHOOL DISTRICT",2012,"General Education","1","01","0","00","1","01",141
"630202040000","NORTH WARREN CENTRAL SCHOOL DISTRICT",2012,"Students with Disabilities","1","04","2","08","3","12",25
"630202040001","NORTH WARREN CENTRAL SCHOOL",2012,"All Students","2","01","2","01","4","02",166
"630202040001","NORTH WARREN CENTRAL SCHOOL",2012,"General Education","1","01","0","00","1","01",141
"630202040001","NORTH WARREN CENTRAL SCHOOL",2012,"Students with Disabilities","1","04","2","08","3","12",25
"622002060000","ELLENVILLE CENTRAL SCHOOL DISTRICT",2012,"All Students","25","05","3","01","28","05",539
"622002060000","ELLENVILLE CENTRAL SCHOOL DISTRICT",2012,"General Education","15","04","3","01","18","04",428
"622002060000","ELLENVILLE CENTRAL SCHOOL DISTRICT",2012,"Students with Disabilities","10","09","0","00","10","09",111
"622002060004","ELLENVILLE HIGH SCHOOL",2012,"All Students","21","04","3","01","24","05",515
"622002060004","ELLENVILLE HIGH SCHOOL",2012,"General Education","14","03","3","01","17","04",428
"622002060004","ELLENVILLE HIGH SCHOOL",2012,"Students with Disabilities","7","08","0","00","7","08",87
"591502040004","SULLIVAN WEST HIGH SCHOOL AT LAKE HUNTINGTON",2012,"All Students","5","01","0","00","5","01",428
"591502040004","SULLIVAN WEST HIGH SCHOOL AT LAKE HUNTINGTON",2012,"General Education","5","01","0","00","5","01",388
"591502040004","SULLIVAN WEST HIGH SCHOOL AT LAKE HUNTINGTON",2012,"Students with Disabilities","0","00","0","00","0","00",40
"591502040000","SULLIVAN WEST CENTRAL SCHOOL DISTRICT",2012,"All Students","7","02","0","00","7","02",450
"591502040000","SULLIVAN WEST CENTRAL SCHOOL DISTRICT",2012,"General Education","7","02","0","00","7","02",396
"591502040000","SULLIVAN WEST CENTRAL SCHOOL DISTRICT",2012,"Students with Disabilities","0","00","0","00","0","00",54
"591401060005","MONTICELLO HIGH SCHOOL",2012,"All Students","25","03","12","01","37","04",929
"591401060005","MONTICELLO HIGH SCHOOL",2012,"General Education","16","02","11","01","27","04",764
"591401060005","MONTICELLO HIGH SCHOOL",2012,"Students with Disabilities","9","05","1","01","10","06",165
"591401060006","ROBERT J KAISER MIDDLE SCHOOL",2012,"All Students","1","100","0","00","1","100",1
"591401060006","ROBERT J KAISER MIDDLE SCHOOL",2012,"General Education","0",,"0",,"0",,0
"591401060006","ROBERT J KAISER MIDDLE SCHOOL",2012,"Students with Disabilities","0",,"0",,"0",,0
"591401060000","MONTICELLO CENTRAL SCHOOL DISTRICT",2012,"All Students","35","04","13","01","48","05",994
"591401060000","MONTICELLO CENTRAL SCHOOL DISTRICT",2012,"General Education","20","03","12","02","32","04",773
"591401060000","MONTICELLO CENTRAL SCHOOL DISTRICT",2012,"Students with Disabilities","15","07","1","00","16","07",221
"580512030000","BRENTWOOD UNION FREE SCHOOL DISTRICT",2012,"All Students","190","04","0","00","190","04",5142
"580512030000","BRENTWOOD UNION FREE SCHOOL DISTRICT",2012,"General Education","171","04","0","00","171","04",4384
"580512030000","BRENTWOOD UNION FREE SCHOOL DISTRICT",2012,"Students with Disabilities","19","03","0","00","19","03",758
"580512030018","BRENTWOOD HIGH SCHOOL",2012,"All Students","175","04","0","00","175","04",3915
"580512030018","BRENTWOOD HIGH SCHOOL",2012,"General Education","158","05","0","00","158","05",3420
"580512030018","BRENTWOOD HIGH SCHOOL",2012,"Students with Disabilities","17","03","0","00","17","03",495
"580509030012","WEST ISLIP SENIOR HIGH SCHOOL",2012,"All Students","4","00","0","00","4","00",1813
"580509030012","WEST ISLIP SENIOR HIGH SCHOOL",2012,"General Education","3","00","0","00","3","00",1583
"580509030012","WEST ISLIP SENIOR HIGH SCHOOL",2012,"Students with Disabilities","1","00","0","00","1","00",230
"580509030000","WEST ISLIP UNION FREE SCHOOL DISTRICT",2012,"All Students","5","00","0","00","5","00",1853
"580509030000","WEST ISLIP UNION FREE SCHOOL DISTRICT",2012,"General Education","3","00","0","00","3","00",1585
"580509030000","WEST ISLIP UNION FREE SCHOOL DISTRICT",2012,"Students with Disabilities","2","01","0","00","2","01",268
"310200011586","HARVEY MILK HIGH SCHOOL",2012,"All Students","26","42","4","06","30","48",62
