"ENTITY_CD","ENTITY_NAME","YEAR","SUBGROUP_NAME","TOTAL_GRAD_PLAN","NUM_4YR_COLLEGE","PER_4YR_COLLEGE","NUM_2YR_COLLEGE","PER_2YR_COLLEGE","NUM_POST_SECONDARY","PER_POST_SECONDARY","NUM_MILITARY","PER_MILITARY","NUM_EMPLOYMENT","PER_EMPLOYMENT","NUM_ADULT_SERVICES","PER_ADULT_SERVICES","NUM_OTHER","PER_OTHER","NUM_UNKNOWN","PER_UNKNOWN"
"031701060007","WINDSOR CENTRAL HIGH SCHOOL",2013,"General Education",128,"44","34","60","47","2","02","8","06","12","09","0","00","0","00","2","02"
"031701060007","WINDSOR CENTRAL HIGH SCHOOL",2013,"Students with Disabilities",17,"1","06","7","41","0","00","4","24","4","24","1","06","0","00","0","00"
"040204040000","WEST VALLEY CENTRAL SCHOOL DISTRICT",2013,"All Students",34,"14","41","14","41","0","00","0","00","3","09","0","00","0","00","3","09"
"040204040000","WEST VALLEY CENTRAL SCHOOL DISTRICT",2013,"General Education",32,"s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s"
"040204040000","WEST VALLEY CENTRAL SCHOOL DISTRICT",2013,"Students with Disabilities",2,"s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s"
"040204040001","WEST VALLEY CENTRAL SCHOOL",2013,"All Students",32,"14","44","13","41","0","00","0","00","3","09","0","00","0","00","2","06"
"040204040001","WEST VALLEY CENTRAL SCHOOL",2013,"General Education",31,"s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s"
"040204040001","WEST VALLEY CENTRAL SCHOOL",2013,"Students with Disabilities",1,"s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s"
"040302060000","ALLEGANY-LIMESTONE CENTRAL SCHOOL DISTRICT",2013,"All Students",85,"48","56","27","32","2","02","2","02","5","06","1","01","0","00","0","00"
"040302060000","ALLEGANY-LIMESTONE CENTRAL SCHOOL DISTRICT",2013,"General Education",77,"47","61","23","30","1","01","2","03","4","05","0","00","0","00","0","00"
"040302060000","ALLEGANY-LIMESTONE CENTRAL SCHOOL DISTRICT",2013,"Students with Disabilities",8,"1","13","4","50","1","13","0","00","1","13","1","13","0","00","0","00"
"040302060001","ALLEGANY-LIMESTONE HIGH SCHOOL",2013,"All Students",84,"48","57","27","32","2","02","2","02","5","06","0","00","0","00","0","00"
"040302060001","ALLEGANY-LIMESTONE HIGH SCHOOL",2013,"General Education",77,"47","61","23","30","1","01","2","03","4","05","0","00","0","00","0","00"
"040302060001","ALLEGANY-LIMESTONE HIGH SCHOOL",2013,"Students with Disabilities",7,"1","14","4","57","1","14","0","00","1","14","0","00","0","00","0","00"
"040901040000","ELLICOTTVILLE CENTRAL SCHOOL DISTRICT",2013,"All Students",47,"16","34","21","45","1","02","2","04","5","11","0","00","0","00","2","04"
"040901040000","ELLICOTTVILLE CENTRAL SCHOOL DISTRICT",2013,"General Education",39,"15","38","16","41","1","03","0","00","5","13","0","00","0","00","2","05"
"020101040000","ALFRED-ALMOND CENTRAL SCHOOL DISTRICT",2013,"Students with Disabilities",3,"s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s"
"020101040002","ALFRED-ALMOND JUNIOR-SENIOR HIGH SCHOOL",2013,"All Students",41,"21","51","15","37","0","00","1","02","3","07","0","00","0","00","1","02"
"020101040002","ALFRED-ALMOND JUNIOR-SENIOR HIGH SCHOOL",2013,"General Education",38,"s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s"
"020101040002","ALFRED-ALMOND JUNIOR-SENIOR HIGH SCHOOL",2013,"Students with Disabilities",3,"s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s"
"060503040001","CHAUTAUQUA LAKE SECONDARY SCHOOL",2013,"General Education",51,"s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s"
"060503040001","CHAUTAUQUA LAKE SECONDARY SCHOOL",2013,"Students with Disabilities",4,"s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s"
"060601040000","PINE VALLEY CENTRAL SCHOOL DISTRICT (SOUTH DAYTON)",2013,"All Students",37,"4","11","22","59","0","00","3","08","7","19","0","00","0","00","1","03"
"060601040000","PINE VALLEY CENTRAL SCHOOL DISTRICT (SOUTH DAYTON)",2013,"General Education",29,"4","14","21","72","0","00","2","07","1","03","0","00","0","00","1","03"
"061700010013","JAMESTOWN HIGH SCHOOL",2013,"General Education",245,"74","30","122","50","0","00","5","02","28","11","0","00","2","01","14","06"
"061700010013","JAMESTOWN HIGH SCHOOL",2013,"Students with Disabilities",33,"2","06","13","39","0","00","0","00","12","36","6","18","0","00","0","00"
"062201060000","FREDONIA CENTRAL SCHOOL DISTRICT",2013,"All Students",111,"42","38","42","38","1","01","5","05","18","16","0","00","3","03","0","00"
"062201060000","FREDONIA CENTRAL SCHOOL DISTRICT",2013,"General Education",102,"41","40","40","39","0","00","5","05","14","14","0","00","2","02","0","00"
"062201060000","FREDONIA CENTRAL SCHOOL DISTRICT",2013,"Students with Disabilities",9,"1","11","2","22","1","11","0","00","4","44","0","00","1","11","0","00"
"062201060003","FREDONIA HIGH SCHOOL",2013,"All Students",108,"42","39","42","39","0","00","5","05","17","16","0","00","2","02","0","00"
"062201060003","FREDONIA HIGH SCHOOL",2013,"General Education",102,"41","40","40","39","0","00","5","05","14","14","0","00","2","02","0","00"
"062201060003","FREDONIA HIGH SCHOOL",2013,"Students with Disabilities",6,"1","17","2","33","0","00","0","00","3","50","0","00","0","00","0","00"
"062301040000","BROCTON CENTRAL SCHOOL DISTRICT",2013,"All Students",36,"11","31","14","39","2","06","1","03","8","22","0","00","0","00","0","00"
"062301040000","BROCTON CENTRAL SCHOOL DISTRICT",2013,"General Education",33,"s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s"
"062301040000","BROCTON CENTRAL SCHOOL DISTRICT",2013,"Students with Disabilities",3,"s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s"
"062301040003","BROCTON MIDDLE HIGH SCHOOL",2013,"All Students",36,"11","31","14","39","2","06","1","03","8","22","0","00","0","00","0","00"
"062301040003","BROCTON MIDDLE HIGH SCHOOL",2013,"General Education",33,"s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s"
"081200050004","NORWICH HIGH SCHOOL",2013,"All Students",155,"59","38","42","27","3","02","10","06","20","13","0","00","7","05","14","09"
"081200050004","NORWICH HIGH SCHOOL",2013,"General Education",134,"57","43","34","25","1","01","10","07","14","10","0","00","5","04","13","10"
"081200050004","NORWICH HIGH SCHOOL",2013,"Students with Disabilities",21,"2","10","8","38","2","10","0","00","6","29","0","00","2","10","1","05"
"081401040000","GEORGETOWN-SOUTH OTSELIC CENTRAL SCHOOL DISTRICT",2013,"All Students",40,"5","13","19","48","0","00","2","05","14","35","0","00","0","00","0","00"
"081401040000","GEORGETOWN-SOUTH OTSELIC CENTRAL SCHOOL DISTRICT",2013,"General Education",35,"5","14","19","54","0","00","2","06","9","26","0","00","0","00","0","00"
"081401040000","GEORGETOWN-SOUTH OTSELIC CENTRAL SCHOOL DISTRICT",2013,"Students with Disabilities",5,"0","00","0","00","0","00","0","00","5","100","0","00","0","00","0","00"
"081401040001","OTSELIC VALLEY JUNIOR-SENIOR HIGH SCHOOL",2013,"All Students",39,"5","13","19","49","0","00","2","05","13","33","0","00","0","00","0","00"
"081401040001","OTSELIC VALLEY JUNIOR-SENIOR HIGH SCHOOL",2013,"General Education",35,"s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s"
"081401040001","OTSELIC VALLEY JUNIOR-SENIOR HIGH SCHOOL",2013,"Students with Disabilities",4,"s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s"
"081501040000","OXFORD ACADEMY AND CENTRAL SCHOOL DISTRICT",2013,"All Students",51,"8","16","30","59","3","06","0","00","7","14","0","00","1","02","2","04"
"081501040000","OXFORD ACADEMY AND CENTRAL SCHOOL DISTRICT",2013,"General Education",43,"8","19","27","63","3","07","0","00","4","09","0","00","0","00","1","02"
"081501040000","OXFORD ACADEMY AND CENTRAL SCHOOL DISTRICT",2013,"Students with Disabilities",8,"0","00","3","38","0","00","0","00","3","38","0","00","1","13","1","13"
"081501040002","OXFORD ACADEMY HIGH SCHOOL",2013,"All Students",50,"8","16","30","60","3","06","0","00","7","14","0","00","0","00","2","04"
"081501040002","OXFORD ACADEMY HIGH SCHOOL",2013,"General Education",43,"8","19","27","63","3","07","0","00","4","09","0","00","0","00","1","02"
"081501040002","OXFORD ACADEMY HIGH SCHOOL",2013,"Students with Disabilities",7,"0","00","3","43","0","00","0","00","3","43","0","00","0","00","1","14"
"082001040000","SHERBURNE-EARLVILLE CENTRAL SCHOOL DISTRICT",2013,"All Students",119,"59","50","14","12","2","02","10","08","31","26","0","00","2","02","1","01"
"082001040000","SHERBURNE-EARLVILLE CENTRAL SCHOOL DISTRICT",2013,"General Education",97,"57","59","13","13","2","02","8","08","15","15","0","00","1","01","1","01"
"082001040000","SHERBURNE-EARLVILLE CENTRAL SCHOOL DISTRICT",2013,"Students with Disabilities",22,"2","09","1","05","0","00","2","09","16","73","0","00","1","05","0","00"
"082001040004","SHERBURNE-EARLVILLE SENIOR HIGH SCHOOL",2013,"All Students",114,"58","51","14","12","2","02","10","09","27","24","0","00","2","02","1","01"
"082001040004","SHERBURNE-EARLVILLE SENIOR HIGH SCHOOL",2013,"General Education",94,"57","61","13","14","2","02","8","09","12","13","0","00","1","01","1","01"
"082001040004","SHERBURNE-EARLVILLE SENIOR HIGH SCHOOL",2013,"Students with Disabilities",20,"1","05","1","05","0","00","2","10","15","75","0","00","1","05","0","00"
"090201040000","AUSABLE VALLEY CENTRAL SCHOOL DISTRICT",2013,"All Students",80,"25","31","33","41","0","00","3","04","13","16","3","04","0","00","3","04"
"090201040000","AUSABLE VALLEY CENTRAL SCHOOL DISTRICT",2013,"General Education",69,"25","36","31","45","0","00","1","01","9","13","0","00","0","00","3","04"
"090201040000","AUSABLE VALLEY CENTRAL SCHOOL DISTRICT",2013,"Students with Disabilities",11,"0","00","2","18","0","00","2","18","4","36","3","27","0","00","0","00"
"090201040002","AUSABLE VALLEY HIGH SCHOOL",2013,"All Students",79,"25","32","33","42","0","00","3","04","12","15","3","04","0","00","3","04"
"090201040002","AUSABLE VALLEY HIGH SCHOOL",2013,"General Education",69,"25","36","31","45","0","00","1","01","9","13","0","00","0","00","3","04"
"090201040002","AUSABLE VALLEY HIGH SCHOOL",2013,"Students with Disabilities",10,"0","00","2","20","0","00","2","20","3","30","3","30","0","00","0","00"
"090301060000","BEEKMANTOWN CENTRAL SCHOOL DISTRICT",2013,"All Students",139,"40","29","58","42","0","00","8","06","29","21","0","00","3","02","1","01"
"090301060000","BEEKMANTOWN CENTRAL SCHOOL DISTRICT",2013,"General Education",117,"39","33","53","45","0","00","8","07","15","13","0","00","1","01","1","01"
"090301060000","BEEKMANTOWN CENTRAL SCHOOL DISTRICT",2013,"Students with Disabilities",22,"1","05","5","23","0","00","0","00","14","64","0","00","2","09","0","00"
"090301060006","BEEKMANTOWN HIGH SCHOOL",2013,"All Students",139,"40","29","58","42","0","00","8","06","29","21","0","00","3","02","1","01"
"090301060006","BEEKMANTOWN HIGH SCHOOL",2013,"General Education",117,"39","33","53","45","0","00","8","07","15","13","0","00","1","01","1","01"
"090301060006","BEEKMANTOWN HIGH SCHOOL",2013,"Students with Disabilities",22,"1","05","5","23","0","00","0","00","14","64","0","00","2","09","0","00"
"090501040000","NORTHEASTERN CLINTON CENTRAL SCHOOL DISTRICT",2013,"All Students",104,"37","36","39","38","2","02","5","05","19","18","1","01","0","00","1","01"
"090501040000","NORTHEASTERN CLINTON CENTRAL SCHOOL DISTRICT",2013,"General Education",89,"37","42","34","38","2","02","5","06","11","12","0","00","0","00","0","00"
"090501040000","NORTHEASTERN CLINTON CENTRAL SCHOOL DISTRICT",2013,"Students with Disabilities",15,"0","00","5","33","0","00","0","00","8","53","1","07","0","00","1","07"
"090501040002","NORTHEASTERN CLINTON SENIOR HIGH SCHOOL",2013,"All Students",103,"37","36","39","38","2","02","5","05","19","18","1","01","0","00","0","00"
"090501040002","NORTHEASTERN CLINTON SENIOR HIGH SCHOOL",2013,"General Education",89,"37","42","34","38","2","02","5","06","11","12","0","00","0","00","0","00"
"090501040002","NORTHEASTERN CLINTON SENIOR HIGH SCHOOL",2013,"Students with Disabilities",14,"0","00","5","36","0","00","0","00","8","57","1","07","0","00","0","00"
"090601020000","CHAZY UNION FREE SCHOOL DISTRICT",2013,"All Students",37,"15","41","17","46","3","08","0","00","1","03","0","00","0","00","1","03"
"090601020000","CHAZY UNION FREE SCHOOL DISTRICT",2013,"General Education",34,"s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s"
"090601020000","CHAZY UNION FREE SCHOOL DISTRICT",2013,"Students with Disabilities",3,"s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s"
"090601020002","CHAZY CENTRAL RURAL JUNIOR-SENIOR HIGH SCHOOL",2013,"All Students",35,"15","43","17","49","3","09","0","00","0","00","0","00","0","00","0","00"
"090601020002","CHAZY CENTRAL RURAL JUNIOR-SENIOR HIGH SCHOOL",2013,"General Education",34,"s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s"
"090601020002","CHAZY CENTRAL RURAL JUNIOR-SENIOR HIGH SCHOOL",2013,"Students with Disabilities",1,"s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s"
"090901040000","NORTHERN ADIRONDACK CENTRAL SCHOOL DISTRICT",2013,"All Students",57,"15","26","27","47","2","04","1","02","12","21","0","00","0","00","0","00"
"090901040000","NORTHERN ADIRONDACK CENTRAL SCHOOL DISTRICT",2013,"General Education",50,"15","30","27","54","1","02","1","02","6","12","0","00","0","00","0","00"
"000002000000","ALLEGANY County",2013,"All Students",478,"144","30","204","43","10","02","29","06","71","15","5","01","4","01","11","02"
"000002000000","ALLEGANY County",2013,"General Education",413,"141","34","189","46","7","02","28","07","39","09","1","00","1","00","7","02"
"000002000000","ALLEGANY County",2013,"Students with Disabilities",65,"3","05","15","23","3","05","1","02","32","49","4","06","3","05","4","06"
"000003000000","BROOME County",2013,"All Students",2069,"711","34","960","46","17","01","60","03","205","10","8","00","32","02","76","04"
"000003000000","BROOME County",2013,"General Education",1740,"693","40","803","46","16","01","49","03","124","07","0","00","11","01","44","03"
"000003000000","BROOME County",2013,"Students with Disabilities",329,"18","05","157","48","1","00","11","03","81","25","8","02","21","06","32","10"
"000004000000","CATTARAUGUS County",2013,"All Students",986,"330","33","391","40","10","01","46","05","153","16","10","01","12","01","34","03"
"000004000000","CATTARAUGUS County",2013,"General Education",841,"321","38","343","41","7","01","39","05","105","12","0","00","5","01","21","02"
"000004000000","CATTARAUGUS County",2013,"Students with Disabilities",145,"9","06","48","33","3","02","7","05","48","33","10","07","7","05","13","09"
"000005000000","CAYUGA County",2013,"All Students",722,"188","26","379","52","3","00","31","04","80","11","1","00","6","01","34","05"
"000005000000","CAYUGA County",2013,"General Education",659,"187","28","353","54","3","00","28","04","61","09","0","00","2","00","25","04"
"000005000000","CAYUGA County",2013,"Students with Disabilities",63,"1","02","26","41","0","00","3","05","19","30","1","02","4","06","9","14"
"000006000000","CHAUTAUQUA County",2013,"All Students",1407,"406","29","658","47","33","02","52","04","196","14","15","01","12","01","35","02"
"000006000000","CHAUTAUQUA County",2013,"General Education",1241,"396","32","607","49","23","02","48","04","133","11","1","00","8","01","25","02"
"000006000000","CHAUTAUQUA County",2013,"Students with Disabilities",166,"10","06","51","31","10","06","4","02","63","38","14","08","4","02","10","06"
"000007000000","CHEMUNG County",2013,"All Students",744,"234","31","352","47","6","01","25","03","101","14","7","01","3","00","16","02"
"000007000000","CHEMUNG County",2013,"General Education",661,"231","35","323","49","3","00","22","03","65","10","0","00","3","00","14","02"
"000007000000","CHEMUNG County",2013,"Students with Disabilities",83,"3","04","29","35","3","04","3","04","36","43","7","08","0","00","2","02"
"000008000000","CHENANGO County",2013,"All Students",625,"207","33","190","30","24","04","28","04","145","23","1","00","11","02","19","03"
"000008000000","CHENANGO County",2013,"General Education",542,"203","37","175","32","17","03","24","04","99","18","0","00","7","01","17","03"
"000008000000","CHENANGO County",2013,"Students with Disabilities",83,"4","05","15","18","7","08","4","05","46","55","1","01","4","05","2","02"
"000009000000","CLINTON County",2013,"All Students",852,"302","35","338","40","22","03","32","04","140","16","5","01","3","00","10","01"
"000009000000","CLINTON County",2013,"General Education",729,"299","41","304","42","11","02","26","04","81","11","0","00","1","00","7","01"
"000009000000","CLINTON County",2013,"Students with Disabilities",123,"3","02","34","28","11","09","6","05","59","48","5","04","2","02","3","02"
"000010000000","COLUMBIA County",2013,"All Students",592,"203","34","261","44","5","01","14","02","63","11","16","03","3","01","27","05"
"000010000000","COLUMBIA County",2013,"General Education",510,"197","39","223","44","3","01","13","03","45","09","1","00","3","01","25","05"
"000010000000","COLUMBIA County",2013,"Students with Disabilities",82,"6","07","38","46","2","02","1","01","18","22","15","18","0","00","2","02"
"000011000000","CORTLAND County",2013,"All Students",471,"173","37","195","41","2","00","15","03","74","16","0","00","2","00","10","02"
"000011000000","CORTLAND County",2013,"General Education",406,"166","41","165","41","1","00","14","03","55","14","0","00","0","00","5","01"
"000011000000","CORTLAND County",2013,"Students with Disabilities",65,"7","11","30","46","1","02","1","02","19","29","0","00","2","03","5","08"
"000012000000","DELAWARE County",2013,"All Students",446,"129","29","171","38","13","03","26","06","93","21","3","01","3","01","8","02"
"000012000000","DELAWARE County",2013,"General Education",358,"125","35","147","41","5","01","25","07","49","14","0","00","1","00","6","02"
"000012000000","DELAWARE County",2013,"Students with Disabilities",88,"4","05","24","27","8","09","1","01","44","50","3","03","2","02","2","02"
"000013000000","DUTCHESS County",2013,"All Students",3317,"1430","43","1427","43","46","01","90","03","196","06","19","01","63","02","46","01"
"000013000000","DUTCHESS County",2013,"General Education",2880,"1384","48","1216","42","33","01","72","03","108","04","0","00","43","01","24","01"
"000013000000","DUTCHESS County",2013,"Students with Disabilities",437,"46","11","211","48","13","03","18","04","88","20","19","04","20","05","22","05"
"000014000000","ERIE County",2013,"All Students",9039,"4524","50","3056","34","94","01","223","02","713","08","121","01","109","01","199","02"
"000014000000","ERIE County",2013,"General Education",7847,"4360","56","2551","33","61","01","191","02","478","06","0","00","62","01","144","02"
"000014000000","ERIE County",2013,"Students with Disabilities",1192,"164","14","505","42","33","03","32","03","235","20","121","10","47","04","55","05"
"000015000000","ESSEX County",2013,"All Students",309,"109","35","103","33","19","06","15","05","50","16","0","00","6","02","7","02"
"000015000000","ESSEX County",2013,"General Education",268,"109","41","91","34","11","04","14","05","34","13","0","00","3","01","6","02"
"000015000000","ESSEX County",2013,"Students with Disabilities",41,"0","00","12","29","8","20","1","02","16","39","0","00","3","07","1","02"
"000016000000","FRANKLIN County",2013,"All Students",565,"220","39","194","34","4","01","23","04","86","15","7","01","10","02","21","04"
"000016000000","FRANKLIN County",2013,"General Education",490,"213","43","174","36","4","01","23","05","52","11","0","00","9","02","15","03"
"000016000000","FRANKLIN County",2013,"Students with Disabilities",75,"7","09","20","27","0","00","0","00","34","45","7","09","1","01","6","08"
"000017000000","FULTON County",2013,"All Students",591,"153","26","303","51","8","01","20","03","69","12","6","01","2","00","30","05"
"000017000000","FULTON County",2013,"General Education",511,"151","30","268","52","5","01","18","04","47","09","0","00","1","00","21","04"
"000017000000","FULTON County",2013,"Students with Disabilities",80,"2","03","35","44","3","04","2","03","22","28","6","08","1","01","9","11"
"000018000000","GENESEE County",2013,"All Students",707,"217","31","324","46","29","04","22","03","86","12","6","01","14","02","9","01"
"000018000000","GENESEE County",2013,"General Education",608,"213","35","286","47","23","04","21","03","51","08","1","00","8","01","5","01"
"000018000000","GENESEE County",2013,"Students with Disabilities",99,"4","04","38","38","6","06","1","01","35","35","5","05","6","06","4","04"
"000019000000","GREENE County",2013,"All Students",512,"154","30","231","45","9","02","21","04","66","13","3","01","8","02","20","04"
"000019000000","GREENE County",2013,"General Education",429,"147","34","199","46","4","01","16","04","45","10","0","00","4","01","14","03"
"000019000000","GREENE County",2013,"Students with Disabilities",83,"7","08","32","39","5","06","5","06","21","25","3","04","4","05","6","07"
"000020000000","HAMILTON County",2013,"All Students",45,"25","56","10","22","1","02","6","13","3","07","0","00","0","00","0","00"
"000020000000","HAMILTON County",2013,"General Education",42,"24","57","10","24","1","02","5","12","2","05","0","00","0","00","0","00"
"000020000000","HAMILTON County",2013,"Students with Disabilities",3,"s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s"
"000021000000","HERKIMER County",2013,"All Students",694,"201","29","319","46","14","02","33","05","89","13","5","01","9","01","24","03"
"000021000000","HERKIMER County",2013,"General Education",609,"196","32","295","48","13","02","27","04","56","09","0","00","7","01","15","02"
"000021000000","HERKIMER County",2013,"Students with Disabilities",85,"5","06","24","28","1","01","6","07","33","39","5","06","2","02","9","11"
